Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3,Total Connectivity R3
149,36,1.4864661,35,0.055727554,0.440562751,0.059957173
150,6,0.84912294,14,0.009287926,0.197061165,0.014989293
151,30,1.4803609,51,0.046439628,0.438230215,0.094218415
152,6,0.84912294,14,0.009287926,0.197061165,0.014989293
153,0,1.1191936,37,0,0.300243623,0.064239829
154,38,1.6249448,71,0.058823529,0.493469545,0.137044968
155,123,2.0326941,100,0.190402477,0.649253128,0.199143469
156,40,1.9384046,159,0.061919505,0.613229139,0.325481799
157,137,2.2203498,229,0.212074303,0.720948352,0.475374732
158,223,2.5258315,346,0.345201238,0.837659856,0.725910064
159,273,2.4732673,318,0.422600619,0.817577321,0.665952891
160,22,1.7297633,146,0.034055728,0.533516214,0.29764454
161,42,1.5688319,81,0.06501548,0.472031204,0.158458244
162,12,1.2552096,56,0.018575851,0.352209525,0.104925054
163,16,1.4028426,70,0.024767802,0.408613785,0.13490364
164,16,1.3873369,65,0.024767802,0.40268972,0.124197002
165,8,1.0207884,35,0.012383901,0.262647202,0.059957173
166,6,0.8619656,22,0.009287926,0.201967797,0.032119914
167,6,0.8619656,20,0.009287926,0.201967797,0.027837259
168,8,0.98558021,21,0.012383901,0.249195657,0.029978587
169,12,1.2222222,23,0.018575851,0.339606449,0.034261242
170,12,1.2222222,23,0.018575851,0.339606449,0.034261242
171,8,0.98558021,21,0.012383901,0.249195657,0.029978587
172,6,0.8619656,19,0.009287926,0.201967797,0.025695931
173,6,0.84912294,15,0.009287926,0.197061165,0.017130621
174,6,0.84912294,14,0.009287926,0.197061165,0.014989293
175,6,0.84912294,14,0.009287926,0.197061165,0.014989293
176,6,0.84912294,14,0.009287926,0.197061165,0.014989293
177,6,0.84912294,14,0.009287926,0.197061165,0.014989293
178,6,0.84912294,14,0.009287926,0.197061165,0.014989293
179,6,0.84912294,14,0.009287926,0.197061165,0.014989293
180,6,0.84912294,14,0.009287926,0.197061165,0.014989293
181,6,0.84912294,14,0.009287926,0.197061165,0.014989293
182,6,0.84912294,14,0.009287926,0.197061165,0.014989293
183,6,0.84912294,14,0.009287926,0.197061165,0.014989293
184,6,0.84912294,14,0.009287926,0.197061165,0.014989293
185,6,0.84912294,14,0.009287926,0.197061165,0.014989293
186,6,0.84912294,14,0.009287926,0.197061165,0.014989293
