Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3 normal,Integration [HH] R3 normal,Total Depth R3 normal
160,24,1.7342104,25,0.148148148,0.673628273,0.150793651
161,28,1.7217885,33,0.172839506,0.667655056,0.214285714
162,24,1.5154221,24,0.148148148,0.568421336,0.142857143
163,0,0.8870222,18,0,0.266247825,0.095238095
164,0,1.1365665,28,0,0.386244148,0.174603175
165,0,0.73918515,20,0,0.195158634,0.111111111
166,14,1.3873369,34,0.086419753,0.506830055,0.222222222
167,0,0.52799052,8,0,0.093603203,0.015873016
168,6,1.1634083,8,0.037037037,0.399151344,0.015873016
169,18,1.4864661,27,0.111111111,0.554497501,0.166666667
170,12,1.2052853,24,0.074074074,0.419288394,0.142857143
171,10,1.1,19,0.061728395,0.368660715,0.103174603
172,32,1.6812503,28,0.197530864,0.648161784,0.174603175
173,18,1.4864661,27,0.111111111,0.554497501,0.166666667
174,12,1.2241485,30,0.074074074,0.428358987,0.19047619
175,14,1.2989333,26,0.086419753,0.464320141,0.158730159
176,10,1.1492875,13,0.061728395,0.392361191,0.055555556
177,8,0.98510355,14,0.049382716,0.3134114,0.063492063
178,6,0.91666669,21,0.037037037,0.280502728,0.119047619
179,10,1.1191936,25,0.061728395,0.377890184,0.150793651
180,20,1.5364467,38,0.12345679,0.578531263,0.253968254
181,22,1.4644111,33,0.135802469,0.543892094,0.214285714
182,20,1.4644111,33,0.12345679,0.543892094,0.214285714
183,24,1.606352,40,0.148148148,0.612146052,0.26984127
184,14,1.2989333,26,0.086419753,0.464320141,0.158730159
185,6,0.8619656,15,0.037037037,0.254199063,0.071428571
186,0,0.42239243,9,0,0.042825115,0.023809524
187,29,1.7495173,41,0.179012346,0.680988777,0.277777778
188,30,1.6474625,31,0.185185185,0.631914521,0.198412698
189,0,1.1365665,28,0,0.386244148,0.174603175
190,19,1.5364467,38,0.117283951,0.578531263,0.253968254
191,0,1.1365665,28,0,0.386244148,0.174603175
192,19,1.6042534,46,0.117283951,0.611136915,0.317460317
193,20,1.7740444,13,0.12345679,0.692782922,0.055555556
194,0,1.1087778,16,0,0.372881623,0.079365079
195,0,1.1058542,22,0,0.371475776,0.126984127
196,20,1.5714285,16,0.12345679,0.595352675,0.079365079
197,0,0.98558021,17,0,0.313640608,0.087301587
198,34,1.6981779,36,0.209876543,0.65630162,0.238095238
199,0,1.2063863,21,0,0.419817823,0.119047619
200,36,1.8105773,27,0.222222222,0.710350198,0.166666667
201,28,1.8328277,40,0.172839506,0.721049566,0.26984127
202,17,1.6981779,36,0.104938272,0.65630162,0.238095238
203,0,0.84912294,12,0,0.248023519,0.047619048
204,16,1.3057258,23,0.098765432,0.467586394,0.134920635
205,0,0.84912294,12,0,0.248023519,0.047619048
206,0,1.5405476,35,0,0.580503229,0.23015873
207,38,1.9862185,41,0.234567901,0.794809343,0.277777778
208,46,2.0147731,46,0.283950617,0.80854016,0.317460317
209,0,1.5365106,41,0,0.57856199,0.277777778
210,48,2.0269725,54,0.296296296,0.814406385,0.380952381
211,0,1.1058542,22,0,0.371475776,0.126984127
212,32,1.6261337,34,0.197530864,0.621658316,0.222222222
213,14,1.3988512,25,0.086419753,0.512366842,0.150793651
214,0,0.73918515,20,0,0.195158634,0.111111111
215,38,1.7572933,30,0.234567901,0.684727958,0.19047619
216,32,1.6812503,28,0.197530864,0.648161784,0.174603175
217,18,1.3938289,37,0.111111111,0.50995181,0.246031746
218,16,1.3076391,32,0.098765432,0.468506427,0.206349206
219,18,1.4028426,40,0.111111111,0.514286154,0.26984127
220,18,1.3845592,31,0.111111111,0.505494365,0.198412698
221,32,1.6118186,52,0.197530864,0.614774731,0.365079365
222,28,1.5364467,38,0.172839506,0.578531263,0.253968254
