Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R5,Choice R7,Choice R9,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R5,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt] R9,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R5,Choice [Connectivity Wgt][Norm] R7,Choice [Connectivity Wgt][Norm] R9,Choice [Norm],Choice [Norm] R3,Choice [Norm] R5,Choice [Norm] R7,Choice [Norm] R9,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R5,Entropy R7,Entropy R9,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R5,Harmonic Mean Depth R7,Harmonic Mean Depth R9,Integration [HH],Integration [HH] R3,Integration [HH] R5,Integration [HH] R7,Integration [HH] R9,Integration [P-value],Integration [P-value] R3,Integration [P-value] R5,Integration [P-value] R7,Integration [P-value] R9,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R5,Integration [Tekl] R7,Integration [Tekl] R9,Intensity,Intensity R3,Intensity R5,Intensity R7,Intensity R9,Line Length,Mean Depth,Mean Depth R3,Mean Depth R5,Mean Depth R7,Mean Depth R9,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R5,Mean Depth [Connectivity Wgt] R7,Mean Depth [Connectivity Wgt] R9,Node Count,Node Count R3,Node Count R5,Node Count R7,Node Count R9,RA,RA R3,RA R5,RA R7,RA R9,RA [Penn],RA [Penn] R3,RA [Penn] R5,RA [Penn] R7,RA [Penn] R9,RRA,RRA R3,RRA R5,RRA R7,RRA R9,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R5,Relativised Entropy R7,Relativised Entropy R9,Total Connectivity,Total Connectivity R3,Total Connectivity R5,Total Connectivity R7,Total Connectivity R9,Total Depth,Total Depth R3,Total Depth R5,Total Depth R7,Total Depth R9,xinqiao_try1_Choice_R3,xinqiao_try1_Cluster_Kmeans_850,xinqiao_try1_Integration__HH__R,xinqiao_try1_Total_Connectivity
285,67705.7214865,4549.11573477,67827.0252153,4512.88359166,4,3,4,4,4,9230,224,1010,2788,4882,0.00087012938,0.039871842,0.0082108481,0.002906854,0.0016508234,3.2147802e-006,0.014285714,0.00059970014,6.5869644e-005,1.6443784e-005,2,0.58333331,0.33333334,4.0123715,1.1383957,1.6839007,2.1283998,2.5614202,10.681698,4.8979592,6.9754071,9.112855,11.243395,0.82304621,1.3235294,1.3473415,1.2266334,1.1216882,0.82304621,1.3235294,1.3473415,1.2266334,1.1216882,0.69163519,0.65296358,0.68362331,0.69484454,0.70003337,0.41065171,0.75893044,0.5267818,0.44447491,0.41832539,126.59922,10.777567,2.6190476,4.2327585,5.8051577,7.1332378,10.046895,2.6037736,4.1834679,5.7407942,6.8980265,1579,22,117,350,699,0.012400211,0.16190477,0.056221887,0.027615849,0.017598961,0.60564858,0.12820514,0.17400882,0.19102749,0.22837058,1.2149986,0.75555557,0.74220234,0.81523949,0.89151329,3.5494189,2.2659328,2.8984735,3.221235,3.3081143,4606,106,496,1385,2432,17007,55,491,2026,4979,3,3,1.3235294,106
286,67661.0731833,4601.51505533,67691.3781893,4727.51655861,11,5,8,8,11,9262,130,710,1940,4100,0.00087314605,0.085950412,0.012577948,0.0042901323,0.0019996951,8.8406459e-006,0.075757578,0.0027341079,0.00026547204,7.1810471e-005,2,0.75,0.33333334,4.0414853,1.4535002,1.6155454,2.066071,2.4503062,8.710393,4.3636365,6.0789475,7.9071522,9.7544479,0.76177442,1.1365665,1.1469934,1.1053534,1.0250839,0.76177442,1.1365665,1.1469934,1.1053534,1.0250839,0.68613118,0.61485791,0.65645427,0.67798728,0.6879946,0.3828367,1.2597001,0.49611235,0.42491218,0.3842667,129.59465,11.564005,2.3333333,4.3116884,5.886179,7.3898916,10.828267,2.4545455,4.2380953,5.7655101,7.2197533,1579,13,78,247,555,0.013397597,0.24242425,0.087149695,0.039887175,0.023109917,0.59018612,0.23809524,0.14429531,0.17388315,0.19472247,1.3127246,0.87984288,0.87184459,0.90468806,0.97552991,3.6129198,1.650112,3.0135243,3.2994378,3.4790418,4606,55,336,951,2025,18248,28,332,1448,4094,6,3,1.1365665,55
287,67635.6559253,4620.07336296,67667.916238,4605.09645991,616,3,23,76,216,12762,222,1180,3354,6406,0.0012030976,0.045301501,0.0095928721,0.0034969829,0.0021661562,0.00049507618,0.019607844,0.0034482758,0.0012515233,0.00088796439,2,1,0.5,4.0066423,1.0084066,1.6065823,2.1025534,2.5484786,9.7100706,3.7333333,5.3903742,7.0745673,8.7539501,0.82277954,1.1779915,1.3296133,1.2229871,1.1203797,0.82277954,1.1779915,1.3296133,1.2229871,1.1203797,0.69161195,0.62920964,0.68209898,0.69456607,0.69993567,0.40993252,0.66068023,0.49596339,0.43777138,0.41572613,35.567337,10.780735,2.6666667,4.2758622,5.8194842,7.1404014,10.050586,2.6767676,4.217742,5.7530684,6.9050164,1579,19,117,350,699,0.012404229,0.19607843,0.056971513,0.027698185,0.017619515,0.60552078,0.090909094,0.16299559,0.18861553,0.22746935,1.2153924,0.84890258,0.75209838,0.81767017,0.89255458,3.5505176,2.4119992,2.9793894,3.2405541,3.3153396,4606,99,496,1385,2432,17012,48,496,2031,4984,4,3,1.1779915,99
288,67630.1161778,4547.14230506,67645.1059404,4623.32925745,3755,28,241,760,1595,31064,838,3748,9980,16798,0.0029284614,0.025774702,0.010548105,0.0050759241,0.0042096954,0.0030178749,0.016364699,0.010775284,0.0052808584,0.0043996843,2,0.5714286,0.125,3.99897,0.99790317,1.8145303,2.27773,2.7550938,11.404753,6.7262568,9.6363106,12.593203,15.43286,0.91601962,2.0315404,1.6805619,1.4155661,1.2645659,0.91601962,2.0315404,1.6805619,1.4155661,1.2645659,0.69939679,0.73119903,0.71842295,0.71576881,0.71366173,0.45551679,0.60478979,0.59097087,0.49672425,0.48696542,77.647568,9.7851715,2.6949153,4.0896225,5.5959034,6.665493,9.0553627,2.5647058,3.9774613,5.4417548,6.3433628,1579,60,213,538,853,0.011141624,0.058445353,0.029285522,0.017148893,0.013314907,0.63102841,0.13043478,0.21837708,0.22899094,0.2880531,1.0916797,0.49223736,0.59503907,0.70643121,0.79078519,3.4523344,2.5273952,2.73681,3.049526,3.0509672,4606,255,843,1983,2825,15441,159,867,3005,5679,28,2,2.0315404,255
289,67559.4065726,4578.38915732,67582.4351258,4648.98529869,4296,18,148,483,1116,62552,1195,4959,13106,24060,0.0058968943,0.030703614,0.01353557,0.006652412,0.0060296031,0.003452674,0.0086538466,0.0062571345,0.003343648,0.0030783999,3,0.77142859,0.15789473,4.0104432,1.0613164,1.8604279,2.3103502,2.7763324,12.363885,9.5791759,13.467016,17.453072,21.226215,0.91774082,2.1496761,1.7201265,1.4297867,1.2714143,0.91774082,2.1496761,1.7201265,1.4297867,1.2714143,0.69953448,0.74020475,0.72139639,0.71671653,0.71411645,0.45768213,0.65464371,0.61545879,0.50869232,0.49337739,74.257187,9.7686949,2.6615384,4.0412846,5.5520444,6.6349764,9.0360403,2.5089605,3.9135513,5.3994961,6.3118582,1579,66,219,539,853,0.011120728,0.051923078,0.028030271,0.016953612,0.013243188,0.63172042,0.1496063,0.23085847,0.23635797,0.29188791,1.0896323,0.46518636,0.58135259,0.69940507,0.78652573,3.455471,2.4533865,2.6806924,3.0176272,3.0377121,4606,279,856,1985,2825,15415,173,881,2987,5653,24,2,2.1496761,279
290,67560.4535766,4619.70103021,67624.8289288,4590.93961479,100,3,12,33,45,10058,448,1491,3461,5549,0.0009481865,0.019383451,0.0063182116,0.0028407027,0.0016973964,8.0369507e-005,0.0040485831,0.00078817736,0.00041147132,0.0001619375,2,0.43333334,0.18181819,4.0415359,1.0604984,1.7689141,2.310967,2.6997607,8.7923107,6.1840491,8.8684959,11.514665,14.156842,0.86017609,1.7429876,1.5725833,1.3494177,1.1846546,0.86017609,1.7429876,1.5725833,1.3494177,1.1846546,0.69481421,0.70535839,0.70816892,0.70634043,0.70583713,0.43229812,0.66281146,0.569157,0.5135482,0.4592852,70.508194,10.355514,2.6666667,4.1314287,5.5137157,6.8873997,9.6155014,2.5534883,3.956332,5.4253683,6.6053967,1579,40,176,402,747,0.01186495,0.087719299,0.035993431,0.022568578,0.015805099,0.62267095,0.13333334,0.20579711,0.24109015,0.25960889,1.1625526,0.57372755,0.63589633,0.74106038,0.84412789,3.4927878,2.4255466,2.7798805,2.9789131,3.174175,4606,215,687,1561,2557,16341,104,723,2211,5138,5,2,1.7429876,215
291,67670.9154357,4533.79943356,67713.7983249,4648.05783963,3453,18,156,559,1370,40460,882,3902,11674,21400,0.00381424,0.026707444,0.010981511,0.0059375088,0.0053629884,0.002775159,0.010169491,0.0069748727,0.0038842103,0.0037790393,2,0.32142857,0.11764706,4.0002127,1.0149425,1.8237437,2.2813776,2.7573946,11.427051,6.7805519,9.7056551,12.682013,15.539547,0.91615176,2.0587263,1.6857091,1.4167141,1.2650901,0.91615176,2.0587263,1.6857091,1.4167141,1.2650901,0.6994074,0.73332649,0.71876192,0.71584308,0.7136966,0.45572409,0.619115,0.5957936,0.4979234,0.48757413,122.04067,9.7839041,2.6833334,4.0801888,5.5921788,6.6631455,9.0531912,2.5369649,3.9655991,5.4367123,6.3398232,1579,61,213,538,853,0.011140018,0.057062145,0.0291961,0.017134996,0.01330939,0.63108164,0.13675214,0.22076373,0.22961575,0.28834808,1.0915222,0.4857372,0.59322214,0.70585871,0.79045755,3.4528024,2.5031006,2.7265134,3.0474899,3.0503721,4606,257,843,1983,2825,15439,161,865,3003,5677,7,2,2.0587263,257
292,67604.871864,4370.72721181,67659.6114592,4533.74533619,14826,50,422,1546,4190,175999,2893,13177,39602,76991,0.016591756,0.071234226,0.028477142,0.018184535,0.018811969,0.011915583,0.024801588,0.01574862,0.0094009768,0.01095783,7,1.2254329,0.29166666,3.9939606,1.283324,1.9037269,2.3319776,2.8003874,9.8812971,17.645969,23.856192,30.376076,36.136013,0.94232559,2.3430231,1.7577381,1.4555484,1.2996842,0.94232559,2.3430231,1.7577381,1.4555484,1.2996842,0.70147932,0.7541433,0.7246443,0.71940953,0.71642178,0.46801215,0.86891735,0.63276517,0.51532942,0.50601059,171.96317,9.5399237,2.515625,4.0258622,5.534843,6.5417142,8.7943983,2.2842104,3.9074843,5.3071394,6.1558895,1579,65,233,575,876,0.010830595,0.048115078,0.02619794,0.015828423,0.012681268,0.64132863,0.22400001,0.23529412,0.23955594,0.30370477,1.0612043,0.42679906,0.56891292,0.68702632,0.7694177,3.3998096,2.1562676,2.6548014,2.9992077,2.9896688,4606,285,962,2087,2861,15054,161,934,3177,5724,72,2,2.3430231,285
293,67438.4964647,4378.7035978,67547.9344944,4647.52004035,96388,780,5072,14704,29757,934611,20468,88311,221115,391219,0.088107526,0.20396206,0.1459686,0.098674849,0.090399206,0.077466562,0.1349948,0.12710823,0.086671032,0.073392525,13,3.6301949,0.26530612,4.0553098,1.373073,2.0957358,2.5251865,2.9226184,10.281028,32.881214,41.471886,50.567474,58.545437,0.96818995,2.9859118,2.0468657,1.5811301,1.3541837,0.96818995,2.9859118,2.0468657,1.5811301,1.3541837,0.70348263,0.79009712,0.74399859,0.72729576,0.72038519,0.48824507,0.97820228,0.76997274,0.60414129,0.54704332,290.2395,9.3117867,2.425926,3.7349823,5.1886792,6.3496118,8.5664349,2.2388394,3.6218181,5.0070853,5.9748468,1579,109,284,584,902,0.010541265,0.02665282,0.019397037,0.014394087,0.011888025,0.65091026,0.2769953,0.31016043,0.29767039,0.32794198,1.0328552,0.33490607,0.48855183,0.63245898,0.73845226,3.4142306,2.0177934,2.3582804,2.773035,2.928767,4606,448,1100,2117,2942,14694,262,1057,3025,5721,785,1,2.9859118,448
294,67503.8406502,4565.60974498,67879.0796794,4423.26832302,4145,110,507,1089,1784,71509,4327,12678,25620,39191,0.0067412872,0.096155554,0.045318712,0.019792335,0.011922856,0.0033313162,0.051282052,0.026530612,0.012495267,0.0063685626,8,1.6864469,0.2857143,4.0935369,1.3507773,2.0322556,2.4676888,2.8088722,10.274918,19.869282,25.823174,31.87606,38.01461,0.86853015,2.4695692,1.7884693,1.4297036,1.2215466,0.86853015,2.4695692,1.7884693,1.4297036,1.2215466,0.69551444,0.76270258,0.72436619,0.71252102,0.70849824,0.44211316,0.95265347,0.72006178,0.57538205,0.49232394,401.32956,10.265526,2.4545455,3.8418367,5.3014355,6.7142859,9.5086842,2.2466667,3.6403744,5.2131758,6.425117,1579,67,197,419,750,0.011750826,0.044755246,0.029147044,0.020630386,0.015278839,0.62630033,0.25581396,0.28036177,0.2770406,0.28139693,1.1513704,0.40492892,0.55913734,0.69944566,0.81863427,3.517405,2.0459602,2.4545436,2.841192,3.1088786,4606,300,748,1609,2564,16199,162,753,2216,5029,108,2,2.4695692,300
295,67869.4027616,4432.93680595,67910.2597828,4346.99486774,77,3,13,37,51,10000,376,1173,2647,4762,0.0009427187,0.028303662,0.0097311689,0.0042967293,0.0021230855,6.1884522e-005,0.0068965517,0.0016774194,0.00090153748,0.00029958412,2,0.32499999,0.2,4.1006956,1.1673331,1.7978427,2.3274143,2.6464801,8.947916,5.9259257,8.3364954,10.741132,13.184644,0.78421414,1.6092162,1.4216702,1.2469796,1.0936034,0.78421414,1.6092162,1.4216702,1.2469796,1.0936034,0.68818635,0.6907801,0.69116622,0.69267803,0.69450742,0.39988872,0.76994312,0.57935596,0.51880443,0.437713,95.159409,11.261724,2.5999999,4.1360002,5.5052266,7.058219,10.504342,2.4907975,3.8879838,5.391892,6.8734655,1579,31,126,288,585,0.013014235,0.11034483,0.050580647,0.031505082,0.020782914,0.60191262,0.15789473,0.2,0.23985891,0.23684211,1.2751619,0.6214205,0.70339799,0.80193776,0.91440833,3.601794,2.2539864,2.7674682,2.9609718,3.2810016,4606,163,491,1110,2118,17771,78,517,1580,4122,0,2,1.6092162,163
296,67611.3589996,4420.58263332,67919.9363547,4350.21769539,3740,36,151,507,1310,44744,1056,4050,11741,22073,0.0042181006,0.091412745,0.025373952,0.010150248,0.0069682691,0.0030058196,0.1025641,0.017464723,0.0068945824,0.0048432415,5,1.5095239,0.38461539,4.0092969,1.4602133,1.7898769,2.180115,2.611578,9.5525579,10.09009,13.735849,17.646929,21.515894,0.84467071,1.8337219,1.4385011,1.2672811,1.1495785,0.84467071,1.8337219,1.4385011,1.2672811,1.1495785,0.6935001,0.71576273,0.69346184,0.69967866,0.70306975,0.42111889,1.1681707,0.57362324,0.45966282,0.43232995,316.49835,10.527249,2.3333333,4.151515,5.7578125,7.0502715,9.7789841,2.2960527,4.0212388,5.630506,6.738975,1579,28,133,385,737,0.012082752,0.1025641,0.048114736,0.024844974,0.016463324,0.61574441,0.29411766,0.1969112,0.19973719,0.23906356,1.1838933,0.54533899,0.69516802,0.78909093,0.86988407,3.5034356,1.7923987,2.8177874,3.191484,3.2639487,4606,152,565,1521,2517,16612,63,548,2211,5189,44,2,1.8337219,152
297,67522.6562835,4434.54821977,67632.3250207,4398.02297209,304,8,45,98,139,17316,752,2649,5996,9430,0.0016324117,0.030517003,0.011225314,0.0049213679,0.0028845645,0.00024432331,0.0097560976,0.0029556651,0.0012219452,0.00050020689,3,0.49285713,0.23076923,4.0463352,1.1548787,1.811974,2.329819,2.7099061,9.3311281,8.5279188,12.018561,15.460674,18.901882,0.86052585,1.8443592,1.589992,1.3539058,1.1862752,0.86052585,1.8443592,1.589992,1.3539058,1.1862752,0.69484359,0.71503085,0.70940739,0.70665324,0.70595217,0.43298748,0.74622935,0.58947772,0.5194605,0.46164194,115.5912,10.351711,2.609756,4.0971427,5.4987531,6.8793564,9.6085539,2.463964,3.9097526,5.4048686,6.5928822,1579,42,176,402,747,0.011860128,0.080487803,0.035599343,0.022493765,0.015783507,0.62282425,0.16455697,0.21449275,0.24360587,0.26062036,1.1620802,0.54219377,0.62893397,0.73860383,0.84297472,3.4936278,2.3072386,2.7348206,2.9667835,3.1706553,4606,222,687,1561,2557,16335,107,717,2205,5132,1,2,1.8443592,222
298,67524.2691608,4426.49115067,67567.2762239,4551.10702059,276,21,56,131,219,21817,1053,3208,7811,11840,0.0020567295,0.065728284,0.018307159,0.0071032047,0.0045353342,0.00022181984,0.039772727,0.0055156113,0.0017269792,0.0010319188,4,0.76785713,0.33333334,4.0960679,1.2837532,1.8049499,2.2329333,2.7086272,10.692644,9.4647884,13.001026,16.735415,20.2715,0.81880069,1.7777745,1.4790649,1.2931882,1.1658486,0.81880069,1.7777745,1.4790649,1.2931882,1.1658486,0.69126445,0.70873529,0.69799638,0.70185071,0.70202935,0.41705513,0.89076751,0.58016247,0.47866055,0.46643817,131.82838,10.828263,2.5151515,4.1398602,5.6794872,6.8174849,10.05406,2.3631284,3.9307432,5.5043831,6.5544858,1579,34,144,391,653,0.012464507,0.094696969,0.044223383,0.024059061,0.017872456,0.60360384,0.20634921,0.20106761,0.21302286,0.2677606,1.2212985,0.56250101,0.67610288,0.77328265,0.85774428,3.5651326,2.1131773,2.7829409,3.11163,3.1250391,4606,179,592,1483,2285,17087,83,592,2215,4445,7,2,1.7777745,179
299,67371.0555042,4566.14688292,67769.4109422,4434.54821977,5404,47,330,1316,2648,100584,3328,14322,39753,61795,0.0094822422,0.06002399,0.029049266,0.022328323,0.017156091,0.0043431683,0.018913481,0.010687913,0.0098280096,0.0083478875,7,1.079304,0.23333333,4.0820074,1.3154393,1.9309323,2.444555,2.8720658,11.362579,18.982027,25.635712,32.134556,37.977699,0.91056788,2.494889,1.8108448,1.5074174,1.3053747,0.91056788,2.494889,1.8108448,1.5074174,1.3053747,0.69895929,0.76394033,0.72886759,0.72100663,0.71522003,0.46220794,0.91068876,0.64883476,0.57227063,0.53114915,419.52982,9.8377695,2.4788733,3.9919679,5.2818532,6.4153075,9.067955,2.2912912,3.8308158,5.0726018,6.0905366,1579,72,250,519,798,0.011208331,0.04225352,0.024128772,0.01656423,0.0136063,0.62881935,0.24460432,0.2444219,0.28150308,0.31924289,1.0982157,0.40081945,0.55222845,0.66338623,0.76606357,3.4779775,2.092629,2.6187894,2.8070416,2.9362872,4606,333,993,1887,2684,15524,176,994,2736,5113,92,2,2.494889,333
300,67740.3808806,4374.92604065,67771.0234736,4492.0219794,21607,61,529,2121,6030,230811,2886,14442,45165,95125,0.021758985,0.075225793,0.031275954,0.020738967,0.023242828,0.017365439,0.035651665,0.01991342,0.012897459,0.01576986,6,0.92543292,0.26086956,3.9880397,1.2898767,1.867614,2.3157182,2.7897148,9.7845278,15.793549,21.61467,27.644514,33.029961,0.94155705,2.2826295,1.7309073,1.4494232,1.2967424,0.94155705,2.2826295,1.7309073,1.4494232,1.2967424,0.70141912,0.75018239,0.72288793,0.71902394,0.71623051,0.46693718,0.87946141,0.61198652,0.5095821,0.50294095,121.03895,9.546895,2.5084746,4.0692639,5.5540071,6.5542855,8.8017807,2.3212996,3.9417274,5.3234305,6.1677737,1579,60,232,575,876,0.010839435,0.052016366,0.026689252,0.015895313,0.012710036,0.64103585,0.22608696,0.22428884,0.23634239,0.30212522,1.0620705,0.43809125,0.57773167,0.6899296,0.77116317,3.3978226,2.13498,2.7044792,3.0108259,2.9937801,4606,277,961,2087,2861,15065,148,940,3188,5735,71,2,2.2826295,277
301,67471.58518,4500.07904851,67763.4972894,4409.30286884,734,39,176,359,470,37936,2704,7911,15627,22712,0.0035762978,0.062994324,0.028278619,0.012072397,0.0069095432,0.00058991218,0.019969279,0.0092098378,0.0041191927,0.0016778164,6,0.93644691,0.23999999,4.0885549,1.2868494,1.9923264,2.4489152,2.798384,10.107679,16.285715,21.75272,27.169283,32.622715,0.86805522,2.3410907,1.7631459,1.4233705,1.2192677,0.86805522,2.3410907,1.7631459,1.4233705,1.2192677,0.69547474,0.75407994,0.72273606,0.71209919,0.70834005,0.44133362,0.87615275,0.69590122,0.56847394,0.48957035,305.70084,10.270596,2.5079365,3.882653,5.3205743,6.7249665,9.514329,2.2935154,3.6751337,5.2293348,6.4352574,1579,64,197,419,750,0.011757256,0.048643112,0.029565673,0.020722179,0.015307398,0.62609583,0.22764228,0.27002585,0.27382389,0.28005373,1.1520004,0.42715132,0.56716806,0.70255774,0.82016444,3.5141525,2.137476,2.495223,2.8495982,3.1093473,4606,293,748,1609,2564,16207,158,761,2224,5037,50,2,2.3410907,293
302,67673.1820419,4392.65159268,67700.0613699,4515.11891084,5064,25,213,863,2041,78377,1859,9542,26346,43352,0.0073887464,0.059487998,0.021190293,0.012109217,0.010592621,0.0040699118,0.018853696,0.0083775809,0.0052661127,0.0053376919,5,0.72543287,0.27777779,3.9724114,1.2294862,1.7892568,2.2735913,2.7615445,9.5922308,13.057607,18.124109,23.344263,28.087851,0.93932831,2.1038156,1.6742115,1.432652,1.2882601,0.93932831,2.1038156,1.6742115,1.432652,1.2882601,0.70124441,0.73699301,0.71892327,0.71793354,0.7156772,0.4640063,0.8145346,0.57045126,0.49470863,0.49460497,125.38239,9.567174,2.5576923,4.1548672,5.6055846,6.590857,8.8228397,2.352,4.0126448,5.3686481,6.2016778,1579,53,227,574,876,0.010865154,0.061085973,0.028043265,0.016103443,0.012793723,0.64018416,0.1980198,0.20246086,0.22768511,0.29753014,1.0645905,0.47532687,0.59729612,0.69800627,0.77624077,3.3948483,2.2238138,2.8085442,3.0488169,3.0106528,4606,250,949,2086,2861,15097,133,939,3212,5767,14,2,2.1038156,250
303,67741.2224269,4238.47369273,67742.238301,4386.98353748,19437,94,643,2133,5408,180910,2438,10849,31475,69366,0.017054724,0.10747427,0.051833574,0.025867028,0.021656703,0.015621421,0.094949491,0.049922362,0.026729323,0.019778371,5,1.5833334,0.2631579,4.0511847,1.3355706,1.9186813,2.3271213,2.7109504,9.8599043,12.907802,17.331181,22.008669,26.645445,0.85530949,2.1060605,1.5962051,1.3371439,1.181523,0.85530949,2.1060605,1.5962051,1.3371439,1.181523,0.69440377,0.73777974,0.70859009,0.70543689,0.70546883,0.4308784,0.94517303,0.64220327,0.51273382,0.4607372,148.51332,10.408745,2.4666667,4.0124226,5.5524998,6.8932433,9.6663046,2.3661971,3.8856261,5.4641027,6.6076651,1579,46,162,401,741,0.011932461,0.06666667,0.037655279,0.022819549,0.015949238,0.62052399,0.24137931,0.23501578,0.23455234,0.25883752,1.1691674,0.47482014,0.62648588,0.74786264,0.84636527,3.5018799,2.0422344,2.6352258,3.0169034,3.1787055,4606,213,647,1560,2531,16425,111,646,2221,5101,97,2,2.1060605,213
304,67732.419569,4249.29911867,67831.9610418,4250.99055427,120,6,29,60,81,9876,250,940,2446,4694,0.00093102898,0.039859693,0.013512639,0.0046291389,0.0021308272,9.6443408e-005,0.028571429,0.0072409487,0.0017958158,0.00048240129,2,0.69999999,0.2857143,4.0576267,1.215248,1.7760046,2.1878252,2.5156965,8.6377935,5.185185,7.182898,9.3065891,11.464553,0.7734198,1.3636364,1.2660767,1.1543971,1.0497916,0.7734198,1.3636364,1.2660767,1.1543971,1.0497916,0.68720365,0.65853858,0.67147219,0.68321598,0.69091392,0.39024198,0.83548295,0.56907189,0.46359783,0.4000054,99.55584,11.404943,2.5714285,4.1666665,5.7413125,7.301724,10.661963,2.6160715,4.0134048,5.6498055,7.1057649,1579,22,91,260,581,0.01319587,0.15714286,0.071161047,0.036754362,0.021767614,0.59635669,0.15384616,0.18571429,0.1989563,0.20612511,1.2929589,0.73333335,0.78984153,0.86625296,0.95257002,3.5958254,2.1543064,2.7983315,3.159539,3.4211736,4606,112,373,1028,2099,17997,54,375,1487,4235,8,3,1.3636364,112
305,67821.8036851,4242.87158401,67845.1656746,4372.77524034,8,8,8,8,8,9270,220,656,1996,4238,0.00087390025,0.067062944,0.014675451,0.0042515076,0.0019404318,6.4295605e-006,0.076190479,0.0034100597,0.00029096199,4.8477505e-005,2,0.69999999,0.2857143,4.0190682,1.3993975,1.7225263,2.0571611,2.401355,8.4270449,4.848485,6.5408807,8.4859333,10.474863,0.76535559,1.2552096,1.1348981,1.0867642,1.0195539,0.76535559,1.2552096,1.1348981,1.0867642,1.0195539,0.68646234,0.63915122,0.65270609,0.6753909,0.68828768,0.38250309,1.1195179,0.5455966,0.42106682,0.37152308,131.98766,11.514575,2.4000001,4.2173915,5.9106383,7.476522,10.767694,2.4444444,4.040134,5.8090816,7.2555022,1579,16,70,236,576,0.013334909,0.2,0.094629154,0.041971266,0.022566278,0.59210366,0.22222222,0.16541353,0.16918646,0.18404908,1.3065822,0.79667974,0.88113642,0.92016286,0.98082113,3.6039433,1.7939149,2.887434,3.3312278,3.5423386,4606,81,299,969,2090,18170,36,291,1389,4299,8,3,1.2552096,81
306,67737.4716139,4244.03249505,67782.1659202,4206.87527369,6022,14,137,495,1252,59198,404,2692,8031,18470,0.0055807061,0.058029301,0.036135197,0.014002987,0.0079543069,0.0048398515,0.050724637,0.030683091,0.013332256,0.0068751168,2,0.53333336,0.25,4.0532494,1.197711,1.8277574,2.2016857,2.5328999,8.7529621,5.4857144,7.6052279,9.8491383,12.129564,0.78596151,1.4538981,1.3147652,1.1730875,1.0640594,0.78596151,1.4538981,1.3147652,1.1730875,1.0640594,0.68834442,0.67141968,0.67701149,0.68582112,0.69284606,0.39614266,0.80926412,0.59681875,0.46764484,0.40464863,58.122631,11.23891,2.5833333,4.1052632,5.7289376,7.271523,10.515414,2.618644,3.9896374,5.6517272,7.0807424,1579,25,96,274,605,0.012985301,0.13768116,0.066069432,0.034771603,0.020801071,0.60279763,0.15555556,0.2027027,0.20160791,0.21017514,1.2723269,0.68780613,0.76059204,0.85245132,0.93979716,3.5790203,2.1933134,2.7207072,3.1540718,3.4024642,4606,118,386,1071,2155,17735,62,390,1564,4392,14,3,1.4538981,118
307,67776.0246729,4217.44291045,67777.731286,4107.61480119,7329,22,114,347,921,66668,275,1834,5743,14675,0.0062849172,0.21145713,0.059638396,0.021612935,0.010411342,0.0058902809,0.18333334,0.071428575,0.019123726,0.0094072707,3,1.3333334,0.42857143,4.0723724,1.4185407,1.9276881,2.1296182,2.4641623,8.9754276,5.7600002,7.5040088,9.6269722,11.803557,0.72801584,1.3304729,1.1325839,1.0442801,0.97523004,0.72801584,1.3304729,1.1325839,1.0442801,0.97523004,0.6829468,0.65185225,0.64807904,0.66697776,0.67915213,0.36866623,1.1483425,0.65768182,0.44347799,0.38660356,109.84137,12.053865,2.375,4,5.8324609,7.3905191,11.352149,2.2941177,4.1048388,5.7668037,7.35676,1579,17,58,192,444,0.014018853,0.18333334,0.10714286,0.050868008,0.028916376,0.58693284,0.24137931,0.21559633,0.17955555,0.19298746,1.3735965,0.75161242,0.88293689,0.95759755,1.0253991,3.6810727,1.7951456,2.5990829,3.269774,3.4899704,4606,51,248,729,1679,19021,38,228,1114,3274,22,3,1.3304729,51
