Cluster_Kmeans_809962,Ref,x1,y1,x2,y2,Choice R7,Integration [HH] R7,Total Connectivity R7,choice归一化,integration归一化,connectivity归一化
2,418,67039.773,5023.11186,67202.92714,5075.464358,987,1.3490986,1830,0.014184499,0.671795364,0.631304348
2,419,67016.09176,5014.703754,67072.32524,4958.946693,4,1.1595627,1355,5.74853E-05,0.547052046,0.466086957
2,420,67031.54536,4907.049591,67066.31578,4974.387061,161,1.3618652,1868,0.002313784,0.68019772,0.644521739
2,421,66988.61888,5118.497824,67041.84764,5124.931443,734,1.5709575,2349,0.010548554,0.817812109,0.811826087
2,422,67191.46821,5072.929983,67225.52195,5074.018808,336,1.1444839,1319,0.004828766,0.537127913,0.453565217
3,423,67215.98685,5070.752332,67236.41882,5099.605541,25,0.9575783,776,0.000359283,0.414115731,0.264695652
3,424,67233.14983,5119.203867,67233.42239,5088.717553,52,0.97289139,776,0.000747309,0.424194063,0.264695652
2,425,67229.60828,5107.227186,67251.4027,5136.624675,413,1.1654774,1319,0.005935358,0.550944815,0.453565217
2,426,67242.41237,5129.819649,67306.16097,5154.589896,22,1.1599864,1319,0.000316169,0.547330905,0.453565217
2,427,67298.56769,5281.499282,67299.36842,5148.796848,662,1.3603411,1830,0.009513818,0.679194631,0.631304348
3,428,67295.43048,5139.178626,67298.93087,5085.404386,228,0.94703692,512,0.003276662,0.407177907,0.172869565
3,429,67259.98799,5086.71595,67393.44382,5112.947354,474,1.113826,846,0.006812009,0.516950373,0.289043478
2,430,67105.47276,4591.420407,67108.11846,4655.740724,13,1.1136231,1318,0.000186827,0.516816834,0.453217391
2,431,67152.65158,4559.260248,67167.64273,4683.935903,1151,1.4242718,2064,0.016541397,0.721270711,0.712695652
2,432,66860.29812,4822.359564,67254.04183,4636.888122,7103,1.5891684,2349,0.102079531,0.829797639,0.811826087
2,433,67238.53877,4641.991527,67325.03022,4619.706585,335,1.4293199,2104,0.004814394,0.724593125,0.726608696
2,434,67228.28698,4644.578281,67271.49466,4738.997899,282,1.5317982,2405,0.004052714,0.792039361,0.831304348
2,435,67301.322,4649.591745,67344.25089,4646.806458,25,1.2550689,1806,0.000359283,0.609909586,0.622956522
2,436,67198.18086,4660.17565,67257.55675,4743.454252,115,1.5317982,2405,0.001652703,0.792039361,0.831304348
2,437,67188.84138,4558.057197,67197.3821,4664.921192,948,1.4232153,2064,0.013624017,0.720575374,0.712695652
2,438,67015.30624,4667.894644,67205.97788,4634.193173,100,1.2120147,1555,0.001437133,0.581573404,0.535652174
2,439,66979.93536,4639.079793,66985.27242,4581.543603,366,1.4091033,2064,0.005259905,0.711287541,0.712695652
2,440,66967.85659,4625.327289,67028.81249,4639.921807,9,1.206691,1555,0.000129342,0.578069603,0.535652174
2,441,67021.22785,4631.7826,67030.54747,4749.26595,781,1.3648907,1830,0.011224006,0.682188957,0.631304348
2,442,67015.07035,4687.897973,67170.72321,4671.669688,5,1.2096428,1555,7.18566E-05,0.580012334,0.535652174
2,443,67135.53219,4681.136199,67223.05854,4766.334662,1202,1.5337621,2405,0.017274334,0.793331905,0.831304348
2,444,66926.79757,4921.380368,67213.02916,4740.374406,432,1.3626155,2074,0.006208413,0.680691531,0.716173913
2,445,67006.85446,4742.673081,67054.95819,4853.44677,105,1.3726443,1863,0.001508989,0.687291999,0.642782609
