Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
147,88,2.4959579,355,0.106666667,0.81377685,0.775055679
148,151,2.3085685,287,0.183030303,0.743263845,0.623608018
149,74,2.0304756,229,0.08969697,0.638619901,0.494432071
150,61,1.8496778,174,0.073939394,0.570587258,0.371937639
151,6,0.84912294,14,0.007272727,0.194087149,0.0155902
152,6,0.84912294,14,0.007272727,0.194087149,0.0155902
153,6,0.84912294,14,0.007272727,0.194087149,0.0155902
154,6,0.84912294,14,0.007272727,0.194087149,0.0155902
155,0,1.471094,58,0,0.42812946,0.113585746
156,33,2.1510253,64,0.04,0.683981707,0.126948775
157,6,0.84912294,16,0.007272727,0.194087149,0.020044543
158,6,0.8870222,32,0.007272727,0.208348312,0.055679287
159,10,1.1981546,69,0.012121212,0.325424733,0.138084633
160,28,1.7909094,101,0.033939394,0.548473219,0.20935412
161,37,2.0180571,145,0.044848485,0.633946927,0.307349666
162,6,0.84912294,14,0.007272727,0.194087149,0.0155902
163,6,0.84912294,14,0.007272727,0.194087149,0.0155902
164,6,0.84912294,14,0.007272727,0.194087149,0.0155902
165,6,0.84912294,14,0.007272727,0.194087149,0.0155902
166,6,0.84912294,14,0.007272727,0.194087149,0.0155902
167,6,0.84912294,14,0.007272727,0.194087149,0.0155902
168,6,0.84912294,14,0.007272727,0.194087149,0.0155902
169,6,0.84912294,14,0.007272727,0.194087149,0.0155902
170,6,0.84912294,14,0.007272727,0.194087149,0.0155902
171,6,0.84912294,14,0.007272727,0.194087149,0.0155902
172,6,0.84912294,14,0.007272727,0.194087149,0.0155902
173,6,0.84912294,16,0.007272727,0.194087149,0.020044543
174,6,0.8870222,30,0.007272727,0.208348312,0.051224944
175,10,1.1561403,56,0.012121212,0.309615117,0.109131403
176,24,1.6666666,86,0.029090909,0.501721732,0.175946548
177,33,1.8597906,91,0.04,0.574392617,0.187082405
178,6,0.84912294,14,0.007272727,0.194087149,0.0155902
179,6,0.84912294,14,0.007272727,0.194087149,0.0155902
180,6,0.84912294,14,0.007272727,0.194087149,0.0155902
181,6,0.84912294,14,0.007272727,0.194087149,0.0155902
182,6,0.84912294,15,0.007272727,0.194087149,0.017817372
183,6,0.8619656,21,0.007272727,0.198919731,0.031180401
184,8,1.0207884,34,0.00969697,0.258683372,0.06013363
185,16,1.4135897,64,0.019393939,0.406491091,0.126948775
186,29,1.4635203,42,0.035151515,0.425279543,0.077951002
187,26,1.3873369,39,0.031515152,0.396612391,0.071269488
188,0,0.73918515,24,0,0.152718513,0.037861915
189,0,0.73918515,24,0,0.152718513,0.037861915
190,23,1.3873369,40,0.027878788,0.396612391,0.073496659
191,26,1.4666082,46,0.031515152,0.426441493,0.086859688
192,0,0.33333334,7,0,0,0
193,0,0.33333334,7,0,0,0
194,0,0.33333334,8,0,0,0.002227171
195,4,0.69804502,14,0.004848485,0.137237839,0.0155902
196,8,0.98510355,18,0.00969697,0.245255473,0.024498886
197,12,1.2222222,24,0.014545455,0.334481162,0.037861915
198,12,1.2052853,31,0.014545455,0.328107954,0.053452116
199,12,1.238816,37,0.014545455,0.340725265,0.066815145
200,47,1.6261337,44,0.056969697,0.486469554,0.082405345
201,77,2.3148217,316,0.093333333,0.74561687,0.688195991
202,149,2.4122515,351,0.180606061,0.782278858,0.766146993
203,0,0.33333334,7,0,0,0
204,4,0.70398736,9,0.004848485,0.13947389,0.004454343
205,6,0.87255627,11,0.007272727,0.202904908,0.008908686
206,6,0.84912294,13,0.007272727,0.194087149,0.013363029
207,6,0.84912294,14,0.007272727,0.194087149,0.0155902
208,6,0.84912294,14,0.007272727,0.194087149,0.0155902
209,6,0.84912294,14,0.007272727,0.194087149,0.0155902
210,6,0.84912294,14,0.007272727,0.194087149,0.0155902
211,6,0.84912294,14,0.007272727,0.194087149,0.0155902
212,6,0.84912294,15,0.007272727,0.194087149,0.017817372
213,6,0.8619656,19,0.007272727,0.198919731,0.026726058
214,8,0.98558021,21,0.00969697,0.245434836,0.031180401
215,12,1.2222222,25,0.014545455,0.334481162,0.040089087
216,0,0.33333334,7,0,0,0
217,4,0.70398736,9,0.004848485,0.13947389,0.004454343
218,6,0.87255627,11,0.007272727,0.202904908,0.008908686
219,6,0.84912294,14,0.007272727,0.194087149,0.0155902
220,6,0.8619656,19,0.007272727,0.198919731,0.026726058
221,8,0.98558021,21,0.00969697,0.245434836,0.031180401
222,12,1.2222222,24,0.014545455,0.334481162,0.037861915
223,12,1.2063863,26,0.014545455,0.328522251,0.042316258
224,10,1.1058542,27,0.012121212,0.290692894,0.04454343
225,18,1.2052853,29,0.021818182,0.328107954,0.048997773
226,8,0.98558021,21,0.00969697,0.245434836,0.031180401
227,6,0.8619656,17,0.007272727,0.198919731,0.022271715
228,6,0.84912294,16,0.007272727,0.194087149,0.020044543
229,6,0.8619656,19,0.007272727,0.198919731,0.026726058
230,8,0.98558021,21,0.00969697,0.245434836,0.031180401
231,12,1.2222222,23,0.014545455,0.334481162,0.035634744
232,12,1.2222222,23,0.014545455,0.334481162,0.035634744
233,8,0.98558021,21,0.00969697,0.245434836,0.031180401
234,6,0.8619656,19,0.007272727,0.198919731,0.026726058
235,6,0.84912294,15,0.007272727,0.194087149,0.017817372
236,6,0.84912294,14,0.007272727,0.194087149,0.0155902
237,6,0.84912294,16,0.007272727,0.194087149,0.020044543
238,12,1.2222222,23,0.014545455,0.334481162,0.035634744
239,8,0.98558021,21,0.00969697,0.245434836,0.031180401
240,6,0.8619656,19,0.007272727,0.198919731,0.026726058
241,6,0.84912294,15,0.007272727,0.194087149,0.017817372
242,6,0.84912294,16,0.007272727,0.194087149,0.020044543
243,6,0.8870222,22,0.007272727,0.208348312,0.033407572
244,10,1.1365665,30,0.012121212,0.302249666,0.051224944
245,101,2.3191147,262,0.122424242,0.747232289,0.567928731
246,637,2.9220879,342,0.772121212,0.97412587,0.74610245
247,132,2.6972449,320,0.16,0.889519401,0.697104677
248,165,2.3103485,244,0.2,0.743933644,0.527839644
249,297,2.6749537,329,0.36,0.881131416,0.71714922
250,811,2.9908488,407,0.983030303,1,0.890868597
251,158,2.6595504,441,0.191515152,0.875335288,0.966592428
252,0,0.33333334,7,0,0,0
253,4,0.70398736,9,0.004848485,0.13947389,0.004454343
254,6,0.87255627,13,0.007272727,0.202904908,0.013363029
255,6,0.8870222,28,0.007272727,0.208348312,0.046770601
256,10,1.1561403,53,0.012121212,0.309615117,0.102449889
257,24,1.7217885,63,0.029090909,0.522463625,0.124721604
258,26,1.7495173,68,0.031515152,0.532897731,0.135857461
259,10,1.1768752,57,0.012121212,0.31741748,0.111358575
260,6,0.8870222,30,0.007272727,0.208348312,0.051224944
261,6,0.84912294,16,0.007272727,0.194087149,0.020044543
262,6,0.84912294,14,0.007272727,0.194087149,0.0155902
263,6,0.84912294,13,0.007272727,0.194087149,0.013363029
264,6,0.87255627,11,0.007272727,0.202904908,0.008908686
265,4,0.70398736,9,0.004848485,0.13947389,0.004454343
266,0,0.33333334,7,0,0,0
267,40,1.7777745,121,0.048484848,0.543530671,0.25389755
268,10,1.1561403,37,0.012121212,0.309615117,0.066815145
269,8,1.0445806,35,0.00969697,0.26763617,0.062360802
270,14,1.3076391,42,0.016969697,0.3666228,0.077951002
271,48,1.6684235,58,0.058181818,0.502382838,0.113585746
272,12,1.2552096,48,0.014545455,0.346894035,0.091314031
273,12,1.2552096,86,0.014545455,0.346894035,0.175946548
274,28,1.7429876,186,0.033939394,0.530440662,0.398663697
275,188,2.6383641,288,0.227878788,0.867363067,0.625835189
276,261,2.6536639,418,0.316363636,0.873120249,0.915367483
277,825,2.9082851,456,1,0.968931996,1
278,151,2.6536639,389,0.183030303,0.873120249,0.85077951
279,236,2.5011437,316,0.286060606,0.815728222,0.688195991
280,325,2.5001314,214,0.393939394,0.815347302,0.461024499
281,108,2.019321,130,0.130909091,0.634422522,0.273942094
282,26,1.3938289,61,0.031515152,0.399055274,0.120267261
283,25,1.7914909,127,0.03030303,0.548692033,0.267260579
284,13,1.6828449,86,0.015757576,0.507809486,0.175946548
285,3,1.31797,64,0.003636364,0.370510228,0.126948775
286,14,1.6037242,84,0.016969697,0.478037053,0.171492205
287,28,1.6666666,89,0.033939394,0.501721732,0.182628062
