Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
262,-2296.50072671,945.202084498,-2210.21012724,984.980061155,36912,74,1313,263558,864,12690,0.047649868,0.35265306,0.20252801,0.047589395,0.29249012,0.19685158,6,2.5833333,0.5,5.2406659,1.5158683,2.5770237,11.780922,9.4285717,13.111449,0.40849271,1.8489804,1.0772986,0.40849271,1.8489804,1.0772986,0.63919985,0.7196123,0.65876228,0.27794787,1.3474385,0.64425594,95.017654,19.870787,2.2173913,5.0431032,18.893566,2,4.9576273,1247,24,117,0.030314516,0.11067194,0.070314839,0.59060836,0.3488372,0.3051852,2.448024,0.5408386,0.92824769,6.2986784,1.6442925,2.6747203,3326,70,354,24759,51,585
263,-2238.61498936,1010.99700644,-2220.32396191,974.014230935,32,3,10,6794,80,568,0.0012283187,0.086533263,0.015699064,4.125652e-005,0.045454547,0.0026730821,2,0.66666669,0.2857143,5.245317,1.4758458,2.4227471,10.57992,4.4444447,7.0031834,0.38798228,1.2123377,0.90977937,0.38798228,1.2123377,0.90977937,0.63594502,0.62951124,0.63346142,0.26422584,1.3704282,0.56402576,41.258785,20.86838,2.25,5.3563218,19.891161,2.1860466,5.2825279,1247,13,88,0.031917073,0.22727273,0.10130981,0.57777321,0.2857143,0.24351297,2.5774374,0.82485271,1.0991676,6.2070842,1.5494391,2.8554044,3326,43,269,26002,27,466
264,-2308.67850191,1062.57122431,-2254.98525138,958.365964833,45676,71,1628,334299,1086,16558,0.06043946,0.20876586,0.19796629,0.058888525,0.18783069,0.18546365,4,1.2,0.26666668,5.210258,1.4435863,2.6034708,11.755904,9.5732222,13.94725,0.42869401,1.8839941,1.1555164,0.42869401,1.8839941,1.1555164,0.64227998,0.72078341,0.66931868,0.29000142,1.162889,0.66832393,117.22501,18.981541,2.3214285,4.9323306,18.002405,2.2941177,4.8337407,1247,29,134,0.028886009,0.097883597,0.059580769,0.60158265,0.3018868,0.32689834,2.3326662,0.53078723,0.86541396,6.289526,1.7779382,2.5955689,3326,102,409,23651,65,656
265,-2278.38998322,989.661942929,-2231.23630629,1009.60880593,632,2,31,9956,96,786,0.0017999912,0.083333336,0.016464008,0.00081481627,0.01904762,0.006262626,2,0.75,0.40000001,5.2151332,1.2516145,2.4499104,10.480209,4.2857141,7.0440459,0.40616074,1.1460608,0.98401737,0.40616074,1.1460608,0.98401737,0.63883644,0.62060714,0.64548707,0.27501464,0.91026509,0.58774573,51.199089,19.979134,2.5333333,5.2199998,19,2.3333333,5.1067963,1247,16,101,0.030488567,0.21904762,0.085252523,0.58825785,0.14814815,0.27115718,2.4620793,0.872554,1.0162421,6.1908913,2.0501473,2.7426159,3326,48,309,24894,38,522
266,-2330.7065242,957.334234293,-2288.027237,947.016889315,9476,14,262,57652,174,2222,0.010423171,0.15753734,0.059627797,0.012217087,0.15384616,0.066905007,2,0.66666669,0.25,5.2490854,1.4451278,2.4578428,10.725422,4.8000002,7.4372182,0.38815475,1.3076391,0.93056005,0.38815475,1.3076391,0.93056005,0.63597298,0.6475991,0.63648814,0.26453319,1.2751129,0.58059275,43.908646,20.85955,2.2857144,5.2921348,19.884546,2.2127659,5.2417583,1247,15,90,0.031902891,0.1978022,0.097548522,0.57796085,0.28,0.25536063,2.576292,0.76473695,1.0746217,6.2197056,1.6354325,2.8161137,3326,47,273,25991,32,471
267,-2334.14836981,948.392523439,-2326.57625209,960.429445702,7018,6,158,44512,86,1410,0.0080475304,0.20451844,0.068431653,0.0090480698,0.13333334,0.073659673,2,1,0.5,5.2572875,1.3713219,2.3565555,9.87432,3.4285715,5.2094493,0.36978862,0.94787496,0.80094141,0.36978862,0.94787496,0.80094141,0.63294023,0.56992978,0.61177862,0.25240973,1.1603494,0.5352177,14.220565,21.845907,2.4000001,5.4848485,20.87282,2.2413793,5.4729066,1247,11,67,0.033487402,0.31111112,0.13799533,0.56586272,0.17647059,0.21066667,2.7042477,1.0549915,1.2485309,6.1604357,1.7606758,2.968868,3326,29,203,27220,24,362
268,-2334.49258306,954.239022884,-2325.19949472,927.757833483,4607,6,100,31610,48,886,0.005714918,0.2962963,0.086654603,0.0059396494,0.40000001,0.096618354,2,1,0.5,5.2689805,1.5491613,2.3606579,9.190196,2.6666667,4.0341573,0.35327679,0.84912294,0.69950306,0.35327679,0.84912294,0.69950306,0.63010859,0.51139158,0.58491629,0.24167502,2.1688259,0.54387707,28.064478,22.820225,2,5.4565215,21.850271,2,5.5384617,1247,7,47,0.035052571,0.40000001,0.19806764,0.55447769,0.33333334,0.19607843,2.8306417,1.1776857,1.4295863,6.122714,1.0911623,2.9563248,3326,18,143,28434,12,251
269,-2332.36905796,896.910228243,-2324.82797586,939.10645384,2368,6,72,19656,40,616,0.003553699,0.40816328,0.118416,0.0030529825,0.40000001,0.11428571,2,1,0.5,5.2862406,1.5491613,2.3620408,8.6996956,2.6666667,3.3974593,0.33956337,0.84912294,0.6346935,0.33956337,0.84912294,0.6346935,0.62767482,0.51139158,0.5646587,0.23305435,2.1688259,0.55313611,42.86478,23.701445,2,5.4166665,22.733313,1.7142857,5.4117646,1247,7,37,0.036468185,0.40000001,0.25238097,0.54538733,0.33333334,0.18461539,2.9449584,1.1776857,1.5755635,6.152699,1.0911623,2.9589233,3326,14,102,29532,12,195
270,-2334.09270654,905.952272344,-2308.23754743,863.756026958,746,6,66,10824,40,530,0.0019569211,0.40816328,0.12255752,0.0009617926,0.40000001,0.14193548,2,1,0.5,5.3093319,1.5491613,2.4428463,9.1484985,2.6666667,3.298969,0.3299402,0.84912294,0.61424249,0.3299402,0.84912294,0.61424249,0.62591928,0.51139158,0.55460989,0.22743857,2.1688259,0.59672576,49.487495,24.363564,2,5.2580647,23.408899,1.7142857,5.4408603,1247,7,32,0.03753183,0.40000001,0.28387097,0.53212792,0.33333334,0.2,3.0308523,1.1776857,1.6280215,6.1493511,1.0911623,2.8347256,3326,14,93,30357,12,163
271,-2316.20958949,870.645220379,-2291.43173465,855.575127086,1093,6,76,12366,46,600,0.0022357062,0.31833911,0.12494794,0.001409168,0.40000001,0.1277311,2,1,0.5,5.2952032,1.5491613,2.4034719,10.972733,2.6666667,3.656148,0.33188975,0.84912294,0.64150161,0.33188975,0.84912294,0.64150161,0.62627822,0.51139158,0.56469113,0.22817369,2.1688259,0.57683325,29.000858,24.226324,2,5.3142858,23.29525,1.9411764,5.3673468,1247,7,36,0.037311364,0.40000001,0.25378153,0.5257681,0.33333334,0.20105819,3.0130489,1.1776857,1.5588425,6.0732694,1.0911623,2.9107604,3326,17,98,30186,12,186
