Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
160,12,1.2052853,35,0.075,0.427002928,0.12173913
161,20,1.3845592,45,0.125,0.514795012,0.165217391
162,26,1.6261337,48,0.1625,0.633096276,0.17826087
163,24,1.5154221,35,0.15,0.578879783,0.12173913
164,44,1.8294003,56,0.275,0.732637807,0.213043478
165,18,1.4864661,44,0.1125,0.564699762,0.160869565
166,10,1.1058542,33,0.0625,0.3783106,0.113043478
167,6,0.8870222,26,0.0375,0.271146548,0.082608696
168,6,0.84912294,16,0.0375,0.252586931,0.039130435
169,6,0.84912294,14,0.0375,0.252586931,0.030434783
170,6,0.84912294,15,0.0375,0.252586931,0.034782609
171,6,0.8619656,21,0.0375,0.2588761,0.060869565
172,8,1.0207884,34,0.05,0.336653092,0.117391304
173,16,1.3938289,61,0.1,0.51933447,0.234782609
174,33,1.7669872,64,0.20625,0.702073536,0.247826087
175,27,1.6981779,61,0.16875,0.668376986,0.234782609
176,28,1.5365106,66,0.175,0.589207016,0.256521739
177,16,1.3845592,46,0.1,0.514795012,0.169565217
178,8,1.0445806,40,0.05,0.348304352,0.143478261
179,8,1.0697098,49,0.05,0.360610353,0.182608696
180,18,1.4803609,75,0.1125,0.561709989,0.295652174
181,28,1.5405476,54,0.175,0.591183972,0.204347826
182,32,1.6261337,52,0.2,0.633096276,0.195652174
183,13,1.4644111,55,0.08125,0.553899225,0.208695652
184,14,1.4724894,68,0.0875,0.557855243,0.265217391
185,32,1.6261337,56,0.2,0.633096276,0.213043478
186,21,1.5405476,59,0.13125,0.591183972,0.226086957
187,12,1.2222222,23,0.075,0.435297084,0.069565217
188,8,1,27,0.05,0.32647282,0.086956522
189,8,1.0207884,34,0.05,0.336653092,0.117391304
190,14,1.3076391,49,0.0875,0.477126529,0.182608696
191,12,1.2222222,23,0.075,0.435297084,0.069565217
192,8,1,27,0.05,0.32647282,0.086956522
193,8,1.0207884,34,0.05,0.336653092,0.117391304
194,14,1.3076391,49,0.0875,0.477126529,0.182608696
195,0,1.1191936,36,0,0.384843027,0.126086957
196,27,1.6008096,42,0.16875,0.62069483,0.152173913
197,22,1.4864661,41,0.1375,0.564699762,0.147826087
198,0,0.42239243,13,0,0.043613059,0.026086957
199,6,0.8619656,21,0.0375,0.2588761,0.060869565
200,14,1.3270249,27,0.0875,0.486619934,0.086956522
201,10,1.2063863,27,0.0625,0.427542098,0.086956522
202,0,0.63684219,20,0,0.148631087,0.056521739
203,0,0.33333334,7,0,0,0
204,4,0.70398736,9,0.025,0.181512697,0.008695652
205,6,0.87255627,11,0.0375,0.264062449,0.017391304
206,6,0.84912294,13,0.0375,0.252586931,0.026086957
207,6,0.84912294,14,0.0375,0.252586931,0.030434783
208,6,0.84912294,14,0.0375,0.252586931,0.030434783
209,6,0.84912294,14,0.0375,0.252586931,0.030434783
210,6,0.84912294,15,0.0375,0.252586931,0.034782609
211,6,0.8619656,20,0.0375,0.2588761,0.056521739
212,8,1,26,0.05,0.32647282,0.082608696
213,14,1.3057258,35,0.0875,0.476189568,0.12173913
214,0,0.84912294,18,0,0.252586931,0.047826087
215,16,1.4783703,22,0.1,0.560735174,0.065217391
216,0,0.42239243,15,0,0.043613059,0.034782609
217,6,0.91666669,36,0.0375,0.285663729,0.126086957
218,18,1.4666082,67,0.1125,0.554975165,0.260869565
219,58,1.9329244,118,0.3625,0.783334515,0.482608696
220,0,0.91666669,38,0,0.285663729,0.134782609
