Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1217,8397.99353552,2385.68970052,8490.52592715,2360.09968719,1027,24,262,19746,1511,7320,0.0028446144,0.02397937,0.0068212794,0.0010856236,0.0091324197,0.0028273889,3,0.6388889,0.13636364,5.1297536,1.0612283,2.4793704,10.69739,9.8625956,17.72574,0.52255601,2.2484248,1.5766605,0.52255601,2.2484248,1.5766605,0.65747565,0.74722171,0.72241753,0.34170234,0.65442413,0.63303071,96.005692,16.023983,2.6575344,4.9280744,14.375469,2.5436621,4.645051,1377,74,432,0.021853065,0.046042617,0.018270113,0.68771434,0.15384616,0.33996102,1.9136705,0.44475579,0.63425195,7.6302395,2.4535723,2.5997396,3726,355,1465,22049,194,2124
1218,8341.81313575,2326.25483085,8345.53094548,2395.59551213,1806,17,468,26502,1106,8913,0.0038178859,0.018911801,0.0095532797,0.0019090909,0.0087045571,0.0058646617,2,0.31666666,0.11111111,5.1535764,1.0135407,2.4305799,9.7688208,6.8408551,12.593586,0.51278299,2.0981474,1.5588598,0.51278299,2.0981474,1.5588598,0.65622884,0.73636371,0.72015423,0.33686864,0.61777723,0.62438345,69.440277,16.31032,2.6825397,4.9050002,14.615674,2.5730994,4.5863838,1377,64,401,0.022269556,0.054275475,0.019573934,0.68801183,0.13821138,0.34342161,1.9501426,0.47661093,0.64149451,7.5232153,2.5057909,2.6106789,3726,342,1366,22443,169,1962
1219,8285.21975019,2381.14951125,8402.95057052,2372.4819517,309,11,134,17101,572,5837,0.002463575,0.062770918,0.0082161278,0.00032663849,0.052380953,0.0023115405,4,1.8333334,0.5714286,5.1701646,1.2541003,2.2107732,9.7856798,6.1090908,11.246785,0.48170871,1.4516129,1.304651,0.48170871,1.4516129,1.304651,0.65213388,0.67052817,0.70024103,0.31747231,0.91967356,0.49385005,118.04945,17.297966,2.4761906,5.4926686,15.600107,2.6148148,5.1854029,1377,22,342,0.023706131,0.14761905,0.026427463,0.67427742,0.20512821,0.2434568,2.0759432,0.68888891,0.76648849,7.3299179,2.0939827,3.0113568,3726,135,1192,23802,52,1873
1220,8393.03650052,2364.63982523,8433.5192879,2440.17161316,389,14,83,15319,713,4870,0.0022068596,0.066898108,0.0061840289,0.00041120508,0.039886039,0.0013061404,3,0.83333331,0.33333334,5.149745,1.2312597,2.2722933,10.529428,7.1999998,13.139979,0.49032316,1.5717616,1.3314455,0.49032316,1.5717616,1.3314455,0.65328979,0.68624294,0.70300937,0.32187366,0.84086025,0.51226765,85.696602,17.011627,2.5555556,5.4509802,15.36044,2.5616438,5.2063746,1377,28,358,0.023289641,0.11965812,0.025005508,0.67372084,0.17647059,0.25082508,2.0394714,0.6362288,0.75106341,7.4231453,2.1695449,2.9495575,3726,146,1255,23408,69,1946
1221,8312.48377758,2471.12724883,8452.52159029,2423.2492106,5646,93,1380,57371,3134,19541,0.0082648834,0.048634011,0.018209647,0.0059682876,0.034431692,0.014892355,4,1.0888889,0.17391305,5.1333838,1.1057103,2.4909408,10.887513,12.413131,21.735104,0.5226571,2.2903869,1.5803945,0.5226571,2.2903869,1.5803945,0.65748847,0.75009787,0.72264749,0.34201032,0.69106889,0.63749194,147.99626,16.021076,2.6351352,4.9187937,14.371176,2.5208914,4.6341295,1377,75,432,0.021848837,0.044798221,0.018226946,0.68777472,0.16551724,0.34152046,1.9133003,0.43660748,0.63275337,7.6329575,2.4011633,2.5907607,3726,359,1465,22045,195,2120
1222,8378.16512761,2434.39322305,8432.18803499,2596.40882158,2649,46,639,44216,2229,14762,0.00636977,0.05020044,0.015391313,0.0028002113,0.026884863,0.0077723041,5,1.1,0.2631579,5.1510954,1.1786135,2.4416447,10.318952,13.493976,23.188284,0.51388067,2.1612132,1.5490535,0.51388067,2.1612132,1.5490535,0.65636981,0.74115723,0.71977007,0.33742726,0.76039582,0.62109333,170.78503,16.277617,2.5932202,4.9433498,14.599033,2.52349,4.6577616,1377,60,407,0.022221988,0.054938633,0.019473333,0.68867826,0.18260869,0.33706003,1.945977,0.46270311,0.64555544,7.54247,2.3031337,2.6270413,3726,298,1385,22398,153,2007
1223,8298.43194636,2368.93720993,8325.69717934,2483.35450773,157,2,26,8964,284,2810,0.0012913565,0.028979592,0.0035681974,0.00016596194,0.0066666668,0.00040915242,2,0.5,0.2857143,5.1437068,1.1093347,2.2490697,10.12069,5.2941175,9.8975725,0.49018967,1.4337122,1.3264369,0.49018967,1.4337122,1.3264369,0.65327197,0.66914189,0.70265007,0.32140875,0.72106755,0.50512356,117.62105,17.015989,2.6400001,5.4677873,15.365808,2.6285715,5.2223105,1377,26,358,0.023295984,0.13666667,0.025099928,0.67363197,0.12765957,0.24799623,2.0400267,0.69749004,0.7538994,7.4193563,2.3262477,2.9654765,3726,140,1255,23414,66,1952
1224,8290.04269542,2323.25409424,8290.04269542,2393.24563519,700,8,230,14605,912,5602,0.0021040007,0.015594542,0.006004429,0.00073995773,0.0040962622,0.0028822054,2,0.31666666,0.11111111,5.1535764,1.0135407,2.4305799,9.7688208,6.8408551,12.593586,0.51278299,2.0981474,1.5588598,0.51278299,2.0981474,1.5588598,0.65622884,0.73636371,0.72015423,0.33686864,0.61777723,0.62438345,69.991539,16.31032,2.6825397,4.9050002,14.615674,2.5730994,4.5863838,1377,64,401,0.022269556,0.054275475,0.019573934,0.68801183,0.13821138,0.34342161,1.9501426,0.47661093,0.64149451,7.5232153,2.5057909,2.6106789,3726,342,1366,22443,169,1962
1225,8377.73740669,2160.31921918,8392.95425165,2229.15938497,0,0,0,3713,347,1466,0.00053489587,0.0053549381,0.001340379,0,0,0,1,0.083333336,0.083333336,5.0630941,0.77654678,2.3822813,9.7076149,3.6043277,6.9298568,0.53460681,1.9843165,1.5982654,0.53460681,1.9843165,1.5982654,0.6589877,0.72776341,0.72422779,0.34504011,0.44182834,0.61203772,70.501923,15.68532,2.8,4.9033709,14.064412,2.6888888,4.5814738,1377,66,446,0.021360464,0.056249999,0.017582752,0.6885097,0.078740157,0.34428087,1.8705336,0.50395191,0.6256783,7.5301585,2.8110073,2.6469488,3726,360,1479,21583,182,2182
1226,8527.94152819,2353.00267363,8689.37195088,2289.591495,6739,32,1154,54136,832,15218,0.0077988482,0.060386121,0.016145315,0.0071236785,0.057040997,0.014389028,3,0.93333334,0.21428572,5.1114521,1.289955,2.3120916,10.47833,8.4345045,15.349736,0.50586748,1.820729,1.3721607,0.50586748,1.820729,1.3721607,0.65533501,0.71299201,0.70791775,0.32960895,0.90296853,0.52246249,173.43805,16.519623,2.5,5.4389029,14.901503,2.5481927,5.1871815,1377,35,402,0.022573996,0.090909094,0.022194514,0.68374676,0.21538462,0.25366876,1.9768023,0.54923058,0.72877759,7.4872475,2.078902,2.9283807,3726,166,1373,22731,85,2181
