Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1092,13259.1952529,1656.08628314,13911.9401036,1667.5003081,55879,37,815,392918,519,6078,0.036374722,0.26152682,0.17708758,0.038286768,0.16017316,0.1990232,3,0.94999999,0.27272728,5.586009,1.4221621,2.6259441,4.4439135,7.2827587,10.145151,0.3546831,1.6118186,1.0403569,0.3546831,1.6118186,1.0403569,0.63800985,0.69133747,0.64919883,0.24289466,1.1279217,0.68828166,652.84467,24.011703,2.3636363,4.8681316,22.669535,2.1587303,4.9503818,1710,23,92,0.026945788,0.12987013,0.085958488,0.68205446,0.2682927,0.3295238,2.8194182,0.62041724,0.96120864,7.87043,1.8049896,2.5517421,4648,63,262,41036,52,443
1093,13894.8051674,1764.51837032,13899.7013833,1653.64042065,2800,7,109,24450,116,928,0.0022634799,0.16066483,0.053075582,0.0019184836,0.10606061,0.047848992,2,0.83333331,0.40000001,5.59021,1.3845311,2.529671,4.367805,4.0975609,6.2891903,0.33995327,1.0697098,0.89158893,0.33995327,1.0697098,0.89158893,0.63546211,0.60170126,0.62438381,0.23298217,1.1249316,0.63241774,110.986,25.008778,2.4166667,5.0735292,23.666954,2.2894738,5.0641713,1710,13,69,0.028113322,0.25757575,0.12159789,0.67260325,0.19047619,0.28423771,2.9415808,0.93483305,1.1215931,7.7414103,1.7917442,2.6243455,4648,38,187,42740,29,345
1094,13674.5038348,1689.51278304,13825.4516911,1700.11123302,4024,9,73,31230,96,802,0.002891144,0.1875,0.03930987,0.0027571351,0.13636364,0.030227743,2,0.69999999,0.2857143,5.5579009,1.4758458,2.3989089,4.3279815,4.4444447,6.3109989,0.35035348,1.2123377,0.8315379,0.35035348,1.2123377,0.8315379,0.63726997,0.62951124,0.61760831,0.23872226,1.3704282,0.5529952,151.31947,24.29608,2.25,5.4142857,22.944708,2.03125,5.4257426,1710,13,71,0.027278781,0.22727273,0.12795031,0.67812532,0.2857143,0.22556391,2.8542602,0.82485271,1.2025911,7.7001247,1.5494391,2.9528055,4648,32,202,41522,27,379
1095,13810.7644989,1687.06692055,13829.5312646,1765.33337034,736,3,9,13314,44,280,0.001232555,0.18181819,0.034720071,0.00050428713,0.10714286,0.0095137423,2,1,0.5,5.5609531,1.4843777,2.4202774,4.2400532,3.2,4.3735762,0.33597377,0.8870222,0.70121449,0.33597377,0.8870222,0.70121449,0.63475841,0.54406804,0.5835579,0.22904976,1.4843777,0.57022244,80.484962,25.293154,2.25,5.3636365,23.942125,2.0454545,5.4015746,1710,9,45,0.028446317,0.35714287,0.20295984,0.66872531,0.23076923,0.20987654,2.9764228,1.1273675,1.4260972,7.5875964,1.47219,2.8918636,4648,22,127,43226,18,236
1096,13812.3963283,1748.21262039,13993.533028,1757.18078285,124,4,18,9922,46,356,0.00091853767,0.23,0.039067216,8.4961415e-005,0.26666668,0.013062409,2,1,0.5,5.5930734,1.5491613,2.3643818,4.2577658,2.6666667,4.2197804,0.3263981,0.84912294,0.74471998,0.3263981,0.84912294,0.74471998,0.63303709,0.51139158,0.59676629,0.22380669,2.1688259,0.54562658,181.35857,26.005852,2,5.4339623,24.664371,2.05,5.2296295,1710,7,54,0.029280856,0.40000001,0.17053701,0.6633926,0.33333334,0.20875421,3.0637434,1.1776857,1.3427867,7.6303282,1.0911623,2.9048557,4648,20,135,44444,12,288
1097,13429.2541457,1608.65673177,13431.7455605,1201.89582812,9179,22,212,63834,204,1562,0.0059094876,0.28254849,0.1283695,0.0062892004,0.2820513,0.11977401,3,1.3333334,0.42857143,5.6363273,1.5164965,2.5969458,4.5038109,5.3333335,7.1547914,0.30994874,1.3006579,0.87734753,0.30994874,1.3006579,0.87734753,0.62998188,0.64624065,0.61893803,0.2141709,1.4153968,0.67124444,406.76852,27.332943,2.2307692,4.9499998,26.006239,2.1315789,4.8076925,1710,14,61,0.030834828,0.20512821,0.1338983,0.6544106,0.30434781,0.30088496,3.2263401,0.76884174,1.1397992,7.8084831,1.5425942,2.5799329,4648,38,156,46712,29,297
1098,13398.9131826,1212.3939483,13631.3666218,1211.08161141,4063,8,85,31346,78,718,0.0029018829,0.27083334,0.096479438,0.0027838568,0.22222222,0.078630894,2,0.83333331,0.40000001,5.6398602,1.5142466,2.483547,4.4214268,3.6923077,5.0051565,0.29865372,1,0.74284875,0.29865372,1,0.74284875,0.62780678,0.57812965,0.59235096,0.2064954,1.5142466,0.60207194,232.45714,28.328848,2.2222223,5.2340426,27.002796,2.0416667,5.0655737,1710,10,48,0.032000992,0.30555555,0.18408881,0.64577442,0.26666668,0.23754789,3.3483593,1,1.3461691,7.7098699,1.4379251,2.7871778,4648,24,122,48414,20,246
1099,13593.2806559,1196.64705551,13662.8852388,1251.76118025,658,6,32,12816,52,356,0.0011864522,0.32098764,0.087901235,0.00045084365,0.2857143,0.060606062,2,1,0.5,5.6426992,1.5306391,2.4341474,4.3264432,3,3.703264,0.28815302,0.8619656,0.63041651,0.28815302,0.8619656,0.63041651,0.62572366,0.52832085,0.56025928,0.19933511,1.7493018,0.59115005,88.782684,29.324751,2.1428571,5.2727275,27.999355,1.9444444,5.1999998,1710,8,34,0.033167157,0.38095239,0.26704547,0.63734645,0.27272728,0.20338982,3.4703784,1.1601391,1.5862529,7.6236663,1.2942394,2.883842,4648,18,90,50116,15,174
1100,13622.1732067,1229.45289049,13678.8585338,1234.56741089,11,6,11,9332,44,168,0.00086391793,0.34375,0.077134989,7.5368998e-006,0.40000001,0.047619049,2,1,0.5,5.6353049,1.5491613,2.6303833,4.2368793,2.6666667,3.0967741,0.2852129,0.84912294,0.58258498,0.2852129,0.84912294,0.58258498,0.62512934,0.51139158,0.53212494,0.19704267,2.1688259,0.73779041,56.915592,29.616735,2,4.7727275,28.294321,1.875,5.0151515,1710,7,23,0.033509057,0.40000001,0.35930735,0.63360804,0.33333334,0.25225225,3.5061526,1.1776857,1.7164878,7.5076056,1.0911623,2.4888155,4648,16,66,50615,12,105
1101,13663.934064,1226.85408973,13745.2474957,1290.61842631,2766,6,18,24364,52,270,0.0022555182,0.32098764,0.062434964,0.0018951878,0.2857143,0.03208556,2,1,0.5,5.6304007,1.5306391,2.4020886,4.2987485,3,3.7127073,0.29543403,0.8619656,0.6316815,0.29543403,0.8619656,0.6316815,0.6271745,0.52832085,0.56174695,0.20392656,1.7493018,0.57584316,103.33327,28.626682,2.1428571,5.3235292,27.302496,1.9444444,5.2473116,1710,8,35,0.032349747,0.38095239,0.26203209,0.64191395,0.27272728,0.19672132,3.3848503,1.1601391,1.5830762,7.5758309,1.2942394,2.9346218,4648,18,93,48923,15,181
