Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
238,310,2.5286107,208,0.354285714,0.81943202,0.540322581
239,37,1.7841618,107,0.042285714,0.541551294,0.268817204
240,6,1.2409762,65,0.006857143,0.338796198,0.155913978
241,4,1.1708162,60,0.004571429,0.312607548,0.142473118
242,0,1.5212561,105,0,0.443416383,0.26344086
243,0,1.5212561,105,0,0.443416383,0.26344086
244,23,1.7820429,105,0.026285714,0.540760372,0.26344086
245,0,1.3034559,86,0,0.362118019,0.212365591
246,7,1.4538981,108,0.008,0.418273637,0.271505376
247,80,2.0712798,182,0.091428571,0.64872394,0.470430108
248,4,1.3034559,86,0.004571429,0.362118019,0.212365591
249,248,2.4698408,265,0.283428571,0.797494957,0.693548387
250,9,1.7093985,153,0.010285714,0.513644369,0.392473118
251,60,2.1774147,206,0.068571429,0.688340955,0.534946237
252,346,2.6393981,298,0.395428571,0.860785675,0.782258065
253,602,2.7873898,379,0.688,0.916026594,1
254,75,2.211148,209,0.085714286,0.700932597,0.543010753
255,111,2.1475871,203,0.126857143,0.677207195,0.52688172
256,49,1.7852225,102,0.056,0.541947222,0.255376344
257,9,1.7500782,161,0.010285714,0.528828896,0.413978495
258,3,1.3272201,92,0.003428571,0.370988491,0.228494624
259,3,1.390353,94,0.003428571,0.394554133,0.233870968
260,14,1.4221928,101,0.016,0.406438987,0.252688172
261,8,1.0952908,47,0.009142857,0.284416153,0.107526882
262,0,1.785715,133,0,0.542131058,0.338709677
263,14,1.3270249,33,0.016,0.370915629,0.069892473
264,15,1.2123377,39,0.017142857,0.328106294,0.086021505
265,14,1.3304729,56,0.016,0.372202665,0.13172043
266,2,1.693624,161,0.002285714,0.507756215,0.413978495
267,274,2.5746148,266,0.313142857,0.836603988,0.696236559
268,3,1.5490618,131,0.003428571,0.453795427,0.333333333
269,1,0.9792943,51,0.001142857,0.241118095,0.11827957
270,20,1.6791822,136,0.022857143,0.502365519,0.346774194
271,20,1.5352089,119,0.022857143,0.44862455,0.301075269
272,13,1.2063863,29,0.014857143,0.325884812,0.059139785
273,6,0.98558021,25,0.006857143,0.243464439,0.048387097
274,10,1.1365665,51,0.011428571,0.299823149,0.11827957
275,136,2.3847063,143,0.155428571,0.76571677,0.365591398
276,124,2.2063491,179,0.141714286,0.699141309,0.462365591
277,11,1.2726263,49,0.012571429,0.350610243,0.112903226
278,5,1.0697098,39,0.005714286,0.274867523,0.086021505
279,12,1.3873683,44,0.013714286,0.393440033,0.099462366
280,38,1.606352,63,0.043428571,0.475180162,0.150537634
281,10,1.238816,45,0.011428571,0.337989859,0.102150538
282,12,1.31797,47,0.013714286,0.367535703,0.107526882
283,6,1.0445806,33,0.006857143,0.265487537,0.069892473
284,7,1,28,0.008,0.248846919,0.056451613
285,13,1.3006579,40,0.014857143,0.361073609,0.088709677
286,44,1.6734514,57,0.050285714,0.500226381,0.134408602
287,10,1.3088794,61,0.011428571,0.364142451,0.14516129
288,32,1.5598243,79,0.036571429,0.45781275,0.193548387
289,45,1.7372102,91,0.051428571,0.524025653,0.225806452
290,16,1.4028426,60,0.018285714,0.399216131,0.142473118
291,8,1.0445806,41,0.009142857,0.265487537,0.091397849
292,8,1.0697098,38,0.009142857,0.274867523,0.083333333
293,27,1.4666082,49,0.030857143,0.423017941,0.112903226
294,21,1.6132691,60,0.024,0.477762111,0.142473118
295,49,1.8,73,0.056,0.547463225,0.177419355
296,90,2.1103904,115,0.102857143,0.663322769,0.290322581
297,5,1.1365665,47,0.005714286,0.299823149,0.107526882
298,10,1.4666082,64,0.011428571,0.423017941,0.153225806
299,9,1.5212561,87,0.010285714,0.443416383,0.215053763
300,1,1.2829794,68,0.001142857,0.354474748,0.163978495
301,11,1.3076391,51,0.012571429,0.363679484,0.11827957
302,9,1.1365665,45,0.010285714,0.299823149,0.102150538
303,9,1.3592209,70,0.010285714,0.382933442,0.169354839
304,1,1.3592209,70,0.001142857,0.382933442,0.169354839
305,0,0.42239243,14,0,0.033243121,0.018817204
306,6,0.91666669,36,0.006857143,0.217741063,0.077956989
307,23,1.5226898,77,0.026285714,0.443951541,0.188172043
308,2,0.91666669,36,0.002285714,0.217741063,0.077956989
309,5,1.3815587,76,0.005714286,0.391271481,0.185483871
310,4,0.70398736,10,0.004571429,0.138354168,0.008064516
311,0,0.33333334,7,0,0,0
312,6,0.84912294,18,0.006857143,0.192528981,0.029569892
313,8,1.0207884,31,0.009142857,0.256606613,0.064516129
314,16,1.4028426,61,0.018285714,0.399216131,0.14516129
315,89,1.9345245,114,0.101714286,0.597677237,0.287634409
316,11,1.4382962,69,0.012571429,0.41244991,0.166666667
317,11,1.5346701,84,0.012571429,0.448423432,0.206989247
318,0,1.0983083,57,0,0.285542496,0.134408602
319,0,1.3034559,76,0,0.362118019,0.185483871
320,0,1.3034559,76,0,0.362118019,0.185483871
321,1,1.390353,76,0.001142857,0.394554133,0.185483871
322,27,1.8571436,119,0.030857143,0.568793239,0.301075269
323,0,1.5627899,101,0,0.458919721,0.252688172
324,2,1.1208336,55,0.002285714,0.293950523,0.129032258
325,137,2.1448686,168,0.156571429,0.67619246,0.432795699
326,36,1.9233313,154,0.041142857,0.593499147,0.39516129
327,292,2.3933642,190,0.333714286,0.768948507,0.491935484
328,44,1.7372102,100,0.050285714,0.524025653,0.25
329,8,1.1460608,53,0.009142857,0.30336709,0.123655914
330,6,0.8619656,30,0.006857143,0.197322766,0.061827957
331,6,1.0102814,44,0.006857143,0.252684661,0.099462366
332,18,1.5842677,87,0.020571429,0.466936747,0.215053763
333,112,2.019321,150,0.128,0.629329259,0.384408602
334,12,1.2726263,64,0.013714286,0.350610243,0.153225806
335,0,0.62688404,25,0,0.109573782,0.048387097
336,0,1.4538981,90,0,0.418273637,0.22311828
337,6,1.0405263,44,0.006857143,0.263974187,0.099462366
338,20,1.5992693,94,0.022857143,0.4725364,0.233870968
339,6,0.84912294,21,0.006857143,0.192528981,0.037634409
