Depthmap_Ref,Choice_R3,Integration_HH_R3,Total_Connectivity_R3,Choice_R3,Integration_HH_R3,Total_Connectivity_R3
157,12,1.2052853,39,0.09375,0.413193197,0.175824176
158,10,1.1191936,39,0.078125,0.372396793,0.175824176
159,14,1.3304729,69,0.109375,0.472516035,0.340659341
160,0,0.49860358,23,0,0.078316859,0.087912088
161,8,1.0697098,52,0.0625,0.348947829,0.247252747
162,26,1.7257152,100,0.203125,0.659810103,0.510989011
163,27,1.6474625,50,0.2109375,0.622728377,0.236263736
164,23,1.6261337,57,0.1796875,0.612621266,0.274725275
165,15,1.4644111,55,0.1171875,0.535985533,0.263736264
166,13,1.4803609,81,0.1015625,0.543543689,0.406593407
167,0,0.42239243,13,0,0.042202566,0.032967033
168,6,0.8619656,21,0.046875,0.25050377,0.076923077
169,14,1.3270249,29,0.109375,0.470882126,0.120879121
170,0,1.5448366,85,0,0.574096886,0.428571429
171,10,1.1492875,19,0.078125,0.386657435,0.065934066
172,8,0.98510355,18,0.0625,0.308855337,0.06043956
173,6,0.8619656,19,0.046875,0.25050377,0.065934066
174,6,0.8619656,21,0.046875,0.25050377,0.076923077
175,8,1,25,0.0625,0.315914341,0.098901099
176,14,1.3270249,29,0.109375,0.470882126,0.120879121
177,10,1.1087778,24,0.078125,0.367461042,0.093406593
178,10,1.1058542,29,0.078125,0.366075631,0.120879121
179,14,1.3057258,32,0.109375,0.460789089,0.137362637
180,38,1.7269484,83,0.296875,0.660394481,0.417582418
181,29,1.606352,68,0.2265625,0.603247282,0.335164835
182,56,1.8900454,99,0.4375,0.737681504,0.505494505
183,9,1.2052853,43,0.0703125,0.413193197,0.197802198
184,6,0.98558021,29,0.046875,0.309081213,0.120879121
185,7,1.0207884,37,0.0546875,0.325765371,0.164835165
186,15,1.4028426,66,0.1171875,0.506809974,0.324175824
187,36,1.787379,110,0.28125,0.689030821,0.565934066
188,36,1.7963344,121,0.28125,0.69327453,0.626373626
189,44,1.7821976,95,0.34375,0.686575503,0.483516484
190,62,1.9310595,118,0.484375,0.757116918,0.60989011
191,44,1.7841618,108,0.34375,0.687506282,0.554945055
192,62,1.9363272,108,0.484375,0.759613131,0.554945055
193,36,1.6673985,84,0.28125,0.63217548,0.423076923
194,38,1.7257152,91,0.296875,0.659810103,0.461538462
195,32,1.6118186,86,0.25,0.605837748,0.434065934
196,18,1.4255327,83,0.140625,0.517562166,0.417582418
197,20,1.4803609,75,0.15625,0.543543689,0.373626374
198,56,1.9363272,115,0.4375,0.759613131,0.593406593
199,79,2.1163981,136,0.6171875,0.844943601,0.708791209
200,49,2.0326941,126,0.3828125,0.80527866,0.653846154
201,74,2.0876319,121,0.578125,0.831312118,0.626373626
202,22,1.7257152,96,0.171875,0.659810103,0.489010989
203,15,1.4666082,76,0.1171875,0.537026676,0.379120879
204,0,1.5598243,94,0,0.581199131,0.478021978
205,28,1.6700469,101,0.21875,0.633430481,0.516483516
