Ref,x1,y1,x2,y2,Choice R3,Choice R7,Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy R3,Entropy R7,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH] R3,Integration [HH] R7,Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl] R3,Integration [Tekl] R7,Intensity R3,Intensity R7,Line Length,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count R3,Node Count R7,RA R3,RA R7,RA [Penn] R3,RA [Penn] R7,RRA R3,RRA R7,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity R3,Total Connectivity R7,Total Depth R3,Total Depth R7
1983,11848.064255,-297.53446239,12004.9579453,-335.360326964,51,946,692,9936,0.21625,0.12358132,0.18478261,0.11638779,4,1.5,0.36363637,1.4278139,2.5761991,8.5146198,12.806413,1.6741856,1.1271596,1.6741856,1.1271596,0.69851047,0.66582716,1.1154796,0.65290701,161.38905,2.375,4.984375,2.2874999,4.8977556,25,129,0.11956522,0.062746063,0.26666668,0.31726909,0.59730536,0.88718581,1.838447,2.5977516,80,401,57,638
1984,11670.6877784,-257.16061207,11848.064255,-297.53446239,12,412,238,4722,0.14149822,0.077093877,0.078431375,0.066280566,2,0.58333331,0.2857143,1.3052267,2.5000238,5.0574713,8.2863646,1.3088794,1.0442415,1.3088794,1.0442415,0.64932406,0.65460688,0.95381951,0.61280411,181.91333,2.5,5.125,2.3620689,5.0599999,19,113,0.17647059,0.074324325,0.18181819,0.29032257,0.76401234,0.95763278,1.9928683,2.6756597,58,350,45,574
1985,13884.0866097,-1114.89976617,14053.012911,-1224.63342193,0,0,5,98,0.15625,0.019213803,0,0,1,0.5,0.5,1.5,2.1927867,1.3333334,2.0719423,0.33333334,0.5779767,0.33333334,0.5779767,0,0.54921895,3,0.49562988,201.43875,2,5.59375,1.875,5.4950495,4,33,1,0.29637095,0,0.14035088,3,1.7301735,0.81028318,3.0166931,8,101,6,179
1986,13074.9497589,-1233.28181531,13102.2786939,-770.996067578,22,590,560,9106,0.14797199,0.20786157,0.086956523,0.13498056,3,0.69999999,0.30000001,1.3725854,2.634856,7.2317882,10.270266,1.5688319,1.0772402,1.5688319,1.0772402,0.68579727,0.65384459,1.0294391,0.70709413,463.09283,2.4347825,4.7765956,2.275862,4.5304055,24,95,0.13043478,0.08121711,0.23255815,0.34622467,0.6374169,0.92829806,1.9203424,2.4684653,87,296,56,449
1987,13043.001065,-1267.56418491,13074.9497589,-1233.28181531,20,602,596,9328,0.1192,0.21731178,0.079051383,0.13772592,3,0.86666667,0.33333334,1.3286045,2.6221013,7,10.02633,1.5226898,1.0957601,1.5226898,1.0957601,0.67999154,0.65574813,0.96625775,0.7158035,46.861496,2.4782608,4.7127662,2.3900001,4.3788395,24,95,0.13438736,0.07984443,0.20930232,0.35727441,0.65673256,0.9126085,2.0008097,2.4337246,100,293,57,443
1988,13394.7817879,-864.518139198,13569.5311245,-956.48472916,31,344,530,3207,0.16984458,0.10952121,0.12252964,0.12396397,3,1,0.30000001,1.3725854,2.6221354,7.2317882,8.9209614,1.5688319,0.98683012,1.5688319,0.98683012,0.68579727,0.63842344,1.0294391,0.69923609,197.47198,2.4347825,4.8133335,2.3037975,4.7768593,24,76,0.13043478,0.10306306,0.23255815,0.33333334,0.6374169,1.0133456,1.9203424,2.5797305,79,242,56,361
1989,13569.5311245,-956.48472916,13741.8203004,-1053.36311809,8,138,116,1020,0.145,0.066612244,0.14545454,0.092929296,2,0.83333331,0.40000001,1.4308271,2.5671194,4,5.8097982,1.0445806,0.85319,1.0445806,0.85319,0.59431612,0.6131472,1.2264233,0.66864508,197.65875,2.3636363,4.9272728,2.375,4.8685713,12,56,0.27272728,0.14545454,0.21052632,0.30097088,0.957322,1.1720719,1.6862333,2.563359,40,175,26,271
1990,13741.8203004,-1053.36311809,13871.986181,-1130.17282665,4,62,32,442,0.25,0.053955078,0.40000001,0.075609758,2,1.5,0.66666669,1.4874687,2.4165962,2,3.235955,0.69804502,0.71604532,0.69804502,0.71604532,0.43067655,0.58330411,2.2312031,0.6005742,151.13864,2,5.1463413,2.0625,5.0390625,6,42,0.5,0.20731707,0.2857143,0.24444444,1.4325724,1.3965597,1.1120105,2.7092984,16,128,10,211
1991,13753.6424303,-1039.55325862,13884.0866097,-1114.89976617,4,62,32,442,0.25,0.053955078,0.40000001,0.075609758,2,1.5,0.66666669,1.4874687,2.4165962,2,3.235955,0.69804502,0.71604532,0.69804502,0.71604532,0.43067655,0.58330411,2.2312031,0.6005742,150.64124,2,5.1463413,2.0625,5.0390625,6,42,0.5,0.20731707,0.2857143,0.24444444,1.4325724,1.3965597,1.1120105,2.7092984,16,128,10,211
1992,13577.4459403,-939.303922989,13753.6424303,-1039.55325862,8,138,116,1020,0.145,0.066612244,0.14545454,0.092929296,2,0.83333331,0.40000001,1.4308271,2.5671194,4,5.8097982,1.0445806,0.85319,1.0445806,0.85319,0.59431612,0.6131472,1.2264233,0.66864508,202.71935,2.3636363,4.9272728,2.375,4.8685713,12,56,0.27272728,0.14545454,0.21052632,0.30097088,0.957322,1.1720719,1.6862333,2.563359,40,175,26,271
