Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1163,-7916.88090194,3020.60158118,-7901.29776506,2852.73020747,72,7,29,13343,238,920,0.001466364,0.14149822,0.036345679,6.8916997e-005,0.058333334,0.0096570095,3,0.69999999,0.375,3.7535765,1.4726398,2.5843775,14.638834,6.0759492,8.6264439,0.51850259,1.3938289,0.95091408,0.51850259,1.3938289,0.95091408,0.65807325,0.66181248,0.63531661,0.24585484,1.2517439,0.65437764,168.59309,16.2787,2.3125,5.0128207,16.15143,2.0517242,4.7955556,1447,17,79,0.02114699,0.175,0.10422911,0.38330775,0.27586207,0.29977629,1.9286307,0.71744823,1.0516196,4.4489503,1.6838834,2.6263289,4266,58,225,23539,37,391
1164,-8001.27063406,2917.93795985,-7743.47022299,2917.93795985,1566,14,84,29194,360,1684,0.0032083511,0.1183432,0.044535536,0.0014989447,0.055335969,0.016969698,4,1.2777778,0.33333334,3.7378514,1.4750162,2.5934141,16.526741,8.5853662,11.514502,0.5532347,1.7257152,1.0329735,0.5532347,1.7257152,1.0329735,0.66236657,0.705015,0.65071356,0.26122534,1.2207031,0.65320408,257.80042,15.319502,2.3043478,5.02,15.188232,2.0769231,4.7309089,1447,24,101,0.019819381,0.11857708,0.081212118,0.39815137,0.30232558,0.30569947,1.8075511,0.57946992,0.96807909,4.3468232,1.723595,2.6702433,4266,78,275,22152,53,502
1165,-7818.00289948,3021.12230371,-7792.53098981,2850.88033001,87,8,38,13520,230,1015,0.0014858159,0.13674198,0.040098764,8.3274703e-005,0.06666667,0.012654013,3,0.69999999,0.375,3.7535765,1.4726398,2.5843775,14.638834,6.0759492,8.6264439,0.51850259,1.3938289,0.95091408,0.51850259,1.3938289,0.95091408,0.65807325,0.66181248,0.63531661,0.24585484,1.2517439,0.65437764,172.13701,16.2787,2.3125,5.0128207,16.15143,2.0517242,4.7955556,1447,17,79,0.02114699,0.175,0.10422911,0.38330775,0.27586207,0.29977629,1.9286307,0.71744823,1.0516196,4.4489503,1.6838834,2.6263289,4266,58,225,23539,37,391
1166,-7756.89250985,2936.89909881,-7745.90154152,2805.92570832,6,0,3,8570,82,454,0.0009418226,0.060650889,0.018096302,5.743083e-006,0,0.0010252905,2,0.44999999,0.33333334,3.7496548,1.3797646,2.5249052,13.122806,4.5714288,7.005971,0.51822108,1.1768752,0.91975886,0.51822108,1.1768752,0.91975886,0.65803754,0.62482291,0.63130057,0.24546464,1.0892878,0.62127,131.43375,16.286999,2.4285715,5.1298699,16.158932,2.2115386,4.9241071,1447,15,78,0.021158475,0.21978022,0.10868079,0.38297278,0.2,0.27891156,1.9296783,0.84970772,1.0872415,4.4386072,1.8288469,2.6866126,4266,52,224,23551,34,395
1167,-4540.64022011,2624.57016184,-4540.64022011,2810.49180717,1770,10,556,18744,478,8736,0.0020599209,0.028546687,0.0030638957,0.0016942095,0.012195121,0.0022090229,2,0.625,0.22222222,3.7431583,0.93889356,2.139991,5.7985535,5.9337749,11.363971,1.0474833,1.7144747,1.457561,1.0474833,1.7144747,1.457561,0.70783311,0.70278144,0.72294122,0.49532238,0.56333613,0.45256802,185.92165,8.562932,2.7317073,5.7366199,7.9730425,2.6174862,5.5544391,1447,42,711,0.010467726,0.086585365,0.013361409,0.70637667,0.10126583,0.20665251,0.95466918,0.58326906,0.68607759,3.2759035,2.5935979,3.1676002,4266,183,2388,12382,112,4073
1168,-4648.98518173,2665.04929751,-4400.73388798,2591.62203115,27,9,27,8674,220,3754,0.00095325196,0.059491616,0.0023019123,2.5843874e-005,0.052631579,0.00021216407,2,0.66666669,0.2857143,3.789624,1.2743722,1.9469019,5.83956,5.1063828,9.5727549,0.9352774,1.3272201,1.2796223,0.9352774,1.3272201,1.2796223,0.69931316,0.65251905,0.70553994,0.44774932,0.9102658,0.38907281,258.88272,9.4702625,2.5263157,6.0158415,8.8745899,2.4883721,5.895349,1447,20,506,0.011723547,0.16959064,0.019904133,0.68321955,0.17142858,0.15819208,1.0692015,0.75345457,0.78148055,3.399457,2.0503726,3.4366601,4266,86,1806,13694,48,3038
1169,-6646.75724945,1295.33363692,-6452.15642631,1205.69929983,0,0,0,4259,30,255,0.00046805397,0.043827612,0.007429637,0,0,0,1,0.16666667,0.16666667,3.5620036,1.3024635,2.3963022,4.9617529,2.9787233,5.0577021,0.70978856,1.0952908,0.91323096,0.70978856,1.0952908,0.91323096,0.67940152,0.60852319,0.6350829,0.31938401,1.0130272,0.55114949,214.25171,12.161134,2.4615386,5.4065933,11.886545,2.2702703,5.4198475,1447,14,92,0.015447937,0.24358974,0.0979243,0.58258331,0.17391305,0.23619048,1.4088703,0.91299957,1.0950133,3.7398138,1.8810604,2.8815782,4266,37,262,17585,32,492
1170,-6724.50049823,1354.58868161,-6617.40273689,1307.62233232,2890,12,120,17040,90,842,0.0018726555,0.13148284,0.02453237,0.0027662518,0.15384616,0.029304029,2,1.1666666,0.2857143,3.5634837,1.4554428,2.4195817,5.4018631,4.6153846,7.2361808,0.70987654,1.2241485,0.91780859,0.70987654,1.2241485,0.91780859,0.67941022,0.63241249,0.63561314,0.31955633,1.2735124,0.5593003,116.94344,12.159751,2.3076923,5.3846154,11.885607,2.1621621,5.4045801,1447,14,92,0.015446022,0.21794872,0.097435899,0.58263499,0.26086956,0.23999999,1.4086957,0.81689435,1.0895518,3.741365,1.6360545,2.8772535,4266,37,262,17583,30,490
1171,-6749.78752831,1284.43639425,-6713.4932316,1357.26398837,0,0,0,4263,17,168,0.00046849356,0.085000001,0.011490715,0,0,0,1,0.5,0.5,3.5648658,1.173795,2.2801623,4.3677545,1.8181819,3.1101513,0.65153438,0.62688404,0.76248145,0.65153438,0.62688404,0.76248145,0.67344922,0.45815691,0.60399032,0.29340544,0.93903595,0.50852543,81.370354,13.15906,2.5714285,5.5737705,12.885139,2.3499999,5.5438595,1447,8,62,0.016829148,0.52380955,0.15245901,0.56134921,0,0.19130434,1.5348384,1.5951912,1.3115073,3.8656011,1.9393367,2.98295,4266,20,171,19028,18,340
1172,-6752.58213857,1006.24052998,-6439.70806869,881.344399464,3597,12,133,29768,134,1248,0.0032714324,0.17619987,0.036361519,0.0034429783,0.13186814,0.032478634,2,0.66666669,0.25,3.5640297,1.4451278,2.4281666,5.4243164,4.8000002,7.3846154,0.70996451,1.3076391,0.9224323,0.70996451,1.3076391,0.9224323,0.67941892,0.6475991,0.6361469,0.3196449,1.2751129,0.56411952,336.88162,12.158368,2.2857144,5.3626375,11.884201,2.1025641,5.3816795,1447,15,92,0.015444108,0.1978022,0.096947499,0.58268672,0.28,0.24380952,1.4085211,0.76473695,1.0840904,3.7431588,1.6354325,2.8766017,4266,39,262,17581,32,488
