Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
3,163,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,164,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,165,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,166,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,167,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,168,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,169,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,170,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,171,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,172,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,173,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,174,6,0.8870222,30,0.007272727,0.208348312,0.051224944
3,175,10,1.1561403,56,0.012121212,0.309615117,0.109131403
3,176,24,1.6666666,86,0.029090909,0.501721732,0.175946548
2,177,33,1.8597906,91,0.04,0.574392617,0.187082405
3,178,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,179,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,180,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,181,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,182,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,183,6,0.8619656,21,0.007272727,0.198919731,0.031180401
3,184,8,1.0207884,34,0.00969697,0.258683372,0.06013363
3,185,16,1.4135897,64,0.019393939,0.406491091,0.126948775
3,186,29,1.4635203,42,0.035151515,0.425279543,0.077951002
3,187,26,1.3873369,39,0.031515152,0.396612391,0.071269488
3,188,0,0.73918515,24,0,0.152718513,0.037861915
3,189,0,0.73918515,24,0,0.152718513,0.037861915
3,190,23,1.3873369,40,0.027878788,0.396612391,0.073496659
3,191,26,1.4666082,46,0.031515152,0.426441493,0.086859688
3,192,0,0.33333334,7,0,0,0
3,193,0,0.33333334,7,0,0,0
3,194,0,0.33333334,8,0,0,0.002227171
3,195,4,0.69804502,14,0.004848485,0.137237839,0.0155902
3,196,8,0.98510355,18,0.00969697,0.245255473,0.024498886
3,197,12,1.2222222,24,0.014545455,0.334481162,0.037861915
3,198,12,1.2052853,31,0.014545455,0.328107954,0.053452116
3,199,12,1.238816,37,0.014545455,0.340725265,0.066815145
3,200,47,1.6261337,44,0.056969697,0.486469554,0.082405345
2,201,77,2.3148217,316,0.093333333,0.74561687,0.688195991
2,202,149,2.4122515,351,0.180606061,0.782278858,0.766146993
3,203,0,0.33333334,7,0,0,0
3,204,4,0.70398736,9,0.004848485,0.13947389,0.004454343
3,205,6,0.87255627,11,0.007272727,0.202904908,0.008908686
3,206,6,0.84912294,13,0.007272727,0.194087149,0.013363029
3,207,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,208,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,209,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,210,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,211,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,212,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,213,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,214,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,215,12,1.2222222,25,0.014545455,0.334481162,0.040089087
3,216,0,0.33333334,7,0,0,0
3,217,4,0.70398736,9,0.004848485,0.13947389,0.004454343
3,218,6,0.87255627,11,0.007272727,0.202904908,0.008908686
3,219,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,220,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,221,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,222,12,1.2222222,24,0.014545455,0.334481162,0.037861915
3,223,12,1.2063863,26,0.014545455,0.328522251,0.042316258
3,224,10,1.1058542,27,0.012121212,0.290692894,0.04454343
3,225,18,1.2052853,29,0.021818182,0.328107954,0.048997773
3,226,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,227,6,0.8619656,17,0.007272727,0.198919731,0.022271715
3,228,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,229,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,230,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,231,12,1.2222222,23,0.014545455,0.334481162,0.035634744
3,232,12,1.2222222,23,0.014545455,0.334481162,0.035634744
3,233,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,234,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,235,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,236,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,237,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,238,12,1.2222222,23,0.014545455,0.334481162,0.035634744
3,239,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,240,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,241,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,242,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,243,6,0.8870222,22,0.007272727,0.208348312,0.033407572
3,244,10,1.1365665,30,0.012121212,0.302249666,0.051224944
2,245,101,2.3191147,262,0.122424242,0.747232289,0.567928731
1,246,637,2.9220879,342,0.772121212,0.97412587,0.74610245
2,247,132,2.6972449,320,0.16,0.889519401,0.697104677
2,248,165,2.3103485,244,0.2,0.743933644,0.527839644
1,249,297,2.6749537,329,0.36,0.881131416,0.71714922
1,250,811,2.9908488,407,0.983030303,1,0.890868597
2,251,158,2.6595504,441,0.191515152,0.875335288,0.966592428
3,252,0,0.33333334,7,0,0,0
3,253,4,0.70398736,9,0.004848485,0.13947389,0.004454343
3,254,6,0.87255627,13,0.007272727,0.202904908,0.013363029
3,255,6,0.8870222,28,0.007272727,0.208348312,0.046770601
3,256,10,1.1561403,53,0.012121212,0.309615117,0.102449889
3,257,24,1.7217885,63,0.029090909,0.522463625,0.124721604
