Cluster_Kmeans_479126,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
3,192,8,1,29,0.020356234,0.290741,0.075601375
3,193,8,1.0697098,46,0.020356234,0.321142246,0.134020619
2,194,24,1.6666666,79,0.061068702,0.581481975,0.24742268
2,195,38,1.7669872,63,0.096692112,0.625232942,0.192439863
3,196,10,1.2052853,41,0.025445293,0.380268281,0.116838488
3,197,0,0.63684219,25,0,0.132363701,0.06185567
3,198,0,0.68957245,28,0,0.155359974,0.072164948
3,199,12,1.3006579,45,0.030534351,0.42186137,0.130584192
3,200,16,1.3845592,49,0.040712468,0.458451692,0.144329897
3,201,8,1.0697098,50,0.020356234,0.321142246,0.147766323
3,202,0,1.1191936,41,0,0.342722701,0.116838488
2,203,14,1.40625,92,0.03562341,0.467911299,0.29209622
3,204,10,1.1981546,64,0.025445293,0.377158501,0.195876289
3,205,10,1.2409762,73,0.025445293,0.395833494,0.226804124
2,206,58,1.8362781,111,0.147582697,0.655451501,0.357388316
2,207,14,1.4516129,90,0.03562341,0.487694582,0.285223368
2,208,9,1.3815587,96,0.022900763,0.457143139,0.305841924
2,209,63,1.9851656,111,0.160305344,0.720383053,0.357388316
3,210,8,1.1950141,77,0.020356234,0.375788893,0.240549828
3,211,8,1.1950141,77,0.020356234,0.375788893,0.240549828
2,212,67,1.9805739,115,0.170483461,0.71838056,0.371134021
2,213,12,1.3992285,103,0.030534351,0.464849142,0.329896907
2,214,16,1.4382962,82,0.040712468,0.481887016,0.257731959
2,215,43,1.7812788,90,0.109414758,0.631465674,0.285223368
3,216,10,1.1981546,60,0.025445293,0.377158501,0.182130584
1,217,72,2.0986729,154,0.183206107,0.769884892,0.505154639
2,218,20,1.5842677,140,0.050890585,0.545546866,0.457044674
2,219,24,1.6693437,127,0.061068702,0.582649489,0.412371134
2,220,27,1.7938285,148,0.06870229,0.636938742,0.484536082
1,221,83,2.0980406,160,0.211195929,0.769609139,0.525773196
2,222,53,2.1024222,142,0.134860051,0.771520005,0.463917526
2,223,30,1.8337219,103,0.076335878,0.654336713,0.329896907
3,224,10,1.2409762,75,0.025445293,0.395833494,0.233676976
3,225,8,1,35,0.020356234,0.290741,0.096219931
3,226,10,1.2736844,17,0.025445293,0.410097916,0.034364261
3,227,6,1.1634083,13,0.015267176,0.36200524,0.020618557
3,228,0,0.52799052,11,0,0.084892236,0.013745704
3,229,0,0.52799052,11,0,0.084892236,0.013745704
3,230,6,1.1634083,13,0.015267176,0.36200524,0.020618557
3,231,10,1.2736844,17,0.025445293,0.410097916,0.034364261
3,232,8,1,35,0.020356234,0.290741,0.096219931
3,233,10,1.2409762,74,0.025445293,0.395833494,0.23024055
2,234,30,1.8344558,100,0.076335878,0.654656775,0.319587629
2,235,50,2.0671797,130,0.127226463,0.756150345,0.422680412
2,236,36,1.8950444,142,0.091603053,0.681080161,0.463917526
2,237,26,1.6597091,125,0.066157761,0.578447729,0.405498282
1,238,77,2.0229185,137,0.195928753,0.736847527,0.446735395
2,239,45,1.9876175,173,0.114503817,0.721452355,0.570446735
1,240,55,2.1384616,185,0.139949109,0.787237202,0.611683849
2,241,26,1.7495173,73,0.066157761,0.617614118,0.226804124
