Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
266,32,1.6132691,63,0.266666667,0.646776052,0.296296296
267,28,1.5364467,63,0.233333333,0.607956222,0.296296296
268,12,1.2052853,41,0.1,0.440614024,0.17989418
269,8,0.98558021,24,0.066666667,0.329592835,0.08994709
270,6,0.84912294,16,0.05,0.260638363,0.047619048
271,4,0.70398736,10,0.033333333,0.187298575,0.015873016
272,0,0.33333334,7,0,0,0
273,0,1.0207884,39,0,0.347384207,0.169312169
274,28,1.5448366,78,0.233333333,0.612195799,0.375661376
275,40,1.7269484,85,0.333333333,0.704220379,0.412698413
276,24,1.4635203,59,0.2,0.571105115,0.275132275
277,0,1.1365665,46,0,0.405889099,0.206349206
278,23,1.6132691,64,0.191666667,0.646776052,0.301587302
279,32,1.6132691,66,0.266666667,0.646776052,0.312169312
280,0,1.1561403,50,0,0.415780115,0.227513228
281,27,1.6132691,66,0.225,0.646776052,0.312169312
282,32,1.6042534,85,0.266666667,0.642220246,0.412698413
283,0,1.1981546,66,0,0.437010745,0.312169312
284,0,0.91666669,39,0,0.294769513,0.169312169
285,0,0.91666669,39,0,0.294769513,0.169312169
286,0,0.8870222,30,0,0.279789585,0.121693122
287,0,0.8870222,30,0,0.279789585,0.121693122
288,0,1.2052853,41,0,0.440614024,0.17989418
289,0,0.8870222,32,0,0.279789585,0.132275132
290,0,0.8870222,32,0,0.279789585,0.132275132
291,0,0.33333334,7,0,0,0
292,4,0.70398736,9,0.033333333,0.187298575,0.010582011
293,6,0.87255627,11,0.05,0.272479673,0.021164021
294,6,0.84912294,13,0.05,0.260638363,0.031746032
295,6,0.84912294,16,0.05,0.260638363,0.047619048
296,6,0.8870222,25,0.05,0.279789585,0.095238095
297,10,1.1,30,0.083333333,0.387411346,0.121693122
298,16,1.4244281,45,0.133333333,0.551351078,0.201058201
299,0,1.2063863,43,0,0.441170381,0.19047619
300,0,1.2063863,43,0,0.441170381,0.19047619
301,0,0.8870222,31,0,0.279789585,0.126984127
302,0,0.8870222,31,0,0.279789585,0.126984127
303,0,1.1365665,46,0,0.405889099,0.206349206
