Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice normal,Integration normal,Total Connectivity normal
272,73,2.1424189,221,0.031196581,0.598695707,0.291553134
273,5,1.5352089,129,0.002136752,0.39774666,0.166212534
274,63,1.8518485,147,0.026923077,0.502534832,0.190735695
275,5,1.1561403,63,0.002136752,0.27229834,0.076294278
276,4,1.6030675,142,0.001709402,0.42020367,0.183923706
277,3,1.5352089,129,0.001282051,0.39774666,0.166212534
278,1,1.7001897,123,0.00042735,0.452345126,0.158038147
279,0,1.7001897,123,0,0.452345126,0.158038147
280,39,1.9851656,126,0.016666667,0.546654567,0.162125341
281,41,2.0980964,163,0.017521368,0.584027694,0.21253406
282,6,1.4380959,96,0.002564103,0.365608248,0.121253406
283,6,1.5226898,108,0.002564103,0.39360361,0.13760218
284,10,1.6857162,121,0.004273504,0.44755529,0.155313351
285,16,1.8276744,150,0.006837607,0.494534696,0.194822888
286,40,1.9040805,168,0.017094017,0.519820401,0.219346049
287,0,1.6700469,103,0,0.442369719,0.130790191
288,1,1.7001897,123,0.00042735,0.452345126,0.158038147
289,2,1.6700469,103,0.000854701,0.442369719,0.130790191
290,5,1.241593,95,0.002136752,0.300577912,0.119891008
291,12,1.6418091,188,0.005128205,0.433024749,0.246594005
292,33,1.8276744,163,0.014102564,0.494534696,0.21253406
293,49,1.9090347,190,0.020940171,0.521459936,0.249318801
294,291,2.6565461,397,0.124358974,0.768840091,0.53133515
295,21,1.4028426,77,0.008974359,0.353941581,0.095367847
296,5,1.1460608,65,0.002136752,0.268962647,0.079019074
297,18,1.6883124,161,0.007692308,0.448414472,0.209809264
298,8,1.0207884,33,0.003418803,0.227505212,0.035422343
299,6,0.91666669,34,0.002564103,0.19304735,0.036784741
300,10,1.2196002,69,0.004273504,0.293299652,0.084468665
301,52,1.8628219,163,0.022222222,0.50616635,0.21253406
302,6,1.40625,97,0.002564103,0.35506922,0.122615804
303,15,1.8273257,184,0.006410256,0.494419298,0.241144414
304,2,1.6338958,156,0.000854701,0.430405935,0.202997275
305,1,1.6338958,156,0.00042735,0.430405935,0.202997275
