Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
656,1918.14865579,2978.14696748,2054.44378754,2976.36998107,102604,18,240,845728,255,2073,0.10141198,0.19607843,0.13233745,0.11301518,0.17142858,0.12288786,3,0.94999999,0.33333334,5.4214096,1.5140977,2.6566718,17.925713,6,7.9906869,0.30901352,1.4644111,0.93841189,0.30901352,1.4644111,0.93841189,0.6239444,0.67323869,0.62800831,0.21435845,1.4250331,0.72045338,136.30672,26.310831,2.2,4.7619047,25.762978,2,4.4067798,1349,16,64,0.037581041,0.17142858,0.12135176,0.47369152,0.33333334,0.33613446,3.2361045,0.68286836,1.0656301,6.5833588,1.5261303,2.4654033,4084,51,177,35467,33,300
657,2054.44378754,2976.36998107,2065.72824432,2948.27012547,103443,8,164,851722,122,1414,0.10213072,0.16897507,0.12240305,0.11393932,0.14545454,0.12368024,2,0.83333331,0.40000001,5.3666167,1.4308271,2.5657468,15.842155,4,5.6170211,0.3131808,1.0445806,0.81535429,0.3131808,1.0445806,0.81535429,0.6247462,0.59431612,0.60622907,0.21505365,1.2264233,0.653772,30.281031,25.974035,2.3636363,5.0192308,25.424583,2.2894738,4.7828946,1349,12,53,0.037080973,0.27272728,0.1576169,0.47007617,0.21052632,0.28178695,3.1930437,0.957322,1.2264607,6.3086767,1.6862333,2.5963483,4084,38,152,35013,26,261
658,2065.72824432,2948.27012547,2104.98060997,2951.79051389,104716,6,108,859868,60,976,0.10310751,0.24793388,0.11914063,0.11534149,0.2857143,0.12543555,2,1,0.5,5.3086963,1.5306391,2.48966,14.155485,3,4.3456788,0.31923068,0.8619656,0.71184349,0.31923068,0.8619656,0.71184349,0.62589502,0.52832085,0.58352733,0.21684222,1.7493018,0.60826921,39.409916,25.500742,2.1428571,5.2142859,24.925074,2.1363637,5.1328125,1349,8,43,0.036378235,0.38095239,0.20557491,0.46925822,0.27272728,0.23376623,3.1325309,1.1601391,1.4048032,6.0849938,1.2942394,2.7419672,4084,22,128,34375,15,219
659,2104.98060997,2951.79051389,2132.79601113,2849.84686949,106151,6,72,869476,42,644,0.10425962,0.37333333,0.11908284,0.1169221,0.40000001,0.14516129,2,1,0.5,5.2607055,1.5491613,2.4724977,12.690064,2.6666667,3.5436242,0.32624415,0.84912294,0.62935245,0.32624415,0.84912294,0.62935245,0.62720495,0.51139158,0.55875361,0.21960305,2.1688259,0.6088987,105.67026,24.974035,2,5.21875,24.341822,1.8,5.3846154,1349,7,33,0.035596192,0.40000001,0.27217743,0.46957836,0.33333334,0.21052632,3.0651891,1.1776857,1.5889349,5.9237528,1.0911623,2.7923069,4084,15,104,33665,12,167
660,2132.79601113,2849.84686949,2140.91676798,2813.60503105,107658,6,54,879436,40,474,0.10545393,0.40816328,0.12524772,0.11858201,0.40000001,0.16615385,2,1,0.5,5.2140317,1.5491613,2.4752996,11.601177,2.6666667,3.0638299,0.33408004,0.84912294,0.57751387,0.33408004,0.84912294,0.57751387,0.62864196,0.51139158,0.53943998,0.22288258,2.1688259,0.62460828,37.140511,24.41172,2,5.1538463,23.729677,1.7142857,5.4597702,1349,7,27,0.03476128,0.40000001,0.3323077,0.47070861,0.33333334,0.2,2.9932947,1.1776857,1.7315601,5.8201547,1.0911623,2.8037932,4084,14,87,32907,12,134
661,2140.91676798,2813.60503105,2151.7347961,2785.51845289,109430,6,50,890900,40,494,0.10682859,0.40816328,0.089614511,0.12053382,0.40000001,0.094696969,2,1,0.5,5.1792951,1.5491613,2.1438127,11.171284,2.6666667,2.9352517,0.34375247,0.84912294,0.58479422,0.34375247,0.84912294,0.58479422,0.63037866,0.51139158,0.55188191,0.22780791,2.1688259,0.48271278,30.097933,23.752968,2,5.6060605,23.026445,1.7142857,5.7619047,1349,7,34,0.033783175,0.40000001,0.28787878,0.47410926,0.33333334,0.14124294,2.90907,1.1776857,1.7100031,5.7452154,1.0911623,3.2993577,4084,14,105,32019,12,185
662,2151.7347961,2785.51845289,2169.69508274,2520.75817271,111442,6,76,903744,40,730,0.10836872,0.40816328,0.077787839,0.12274997,0.40000001,0.076767676,2,1,0.5,5.1545939,1.5491613,2.1768327,12.21462,2.6666667,3.4341328,0.35539782,0.84912294,0.65876776,0.35539782,0.84912294,0.65876776,0.6324181,0.51139158,0.57756436,0.2344024,2.1688259,0.47683004,265.36874,23.007418,2,5.688889,22.240696,1.7142857,5.7372265,1349,7,46,0.032676198,0.40000001,0.21313131,0.47970816,0.33333334,0.15261044,2.8137481,1.1776857,1.5179856,5.6891184,1.0911623,3.2158689,4084,14,137,31014,12,256
663,2169.69508274,2520.75817271,2177.80693404,2500.81818003,113466,6,136,916640,46,1210,0.10991509,0.31833911,0.073868319,0.12497935,0.40000001,0.079485677,2,1,0.5,5.1397057,1.5491613,2.3040946,13.766393,2.6666667,4.2298899,0.36794975,0.84912294,0.76661897,0.36794975,0.84912294,0.76661897,0.63455689,0.51139158,0.60348725,0.24198034,2.1688259,0.52365786,21.526854,22.256676,2,5.4915257,21.451273,1.9411764,5.5027623,1349,7,60,0.031561509,0.40000001,0.15488018,0.48568556,0.33333334,0.2042042,2.7177625,1.1776857,1.3044289,5.6591744,1.0911623,2.9641981,4084,17,181,30002,12,324
664,2177.80693404,2500.81818003,2261.82120599,2458.06992051,115501,6,226,929580,92,1904,0.11146674,0.15916955,0.073253311,0.12722084,0.16666667,0.090945676,2,1,0.5,5.1274743,1.4287713,2.4514005,15.938453,3.3333333,5.4692225,0.38150355,0.91666669,0.89713472,0.38150355,0.91666669,0.89713472,0.63680142,0.55788589,0.6262995,0.25029719,1.298883,0.60653204,94.26458,21.501484,2.3333333,5.1126761,20.658913,2.3823528,5.1535087,1349,10,72,0.030440213,0.33333334,0.11750503,0.49205065,0.2,0.27901235,2.6212077,1.0909091,1.1146598,5.66364,1.6264987,2.6695874,4084,34,228,28984,21,363
665,1776.9432213,2976.73932561,1798.68725744,2906.98763973,16104,14,194,101756,205,1673,0.01220165,0.18560435,0.14293648,0.017738067,0.15384616,0.14078374,3,1.0833334,0.42857143,5.4424453,1.4860064,2.6597111,16.528296,5.5081968,6.9512882,0.29603347,1.3076391,0.87504596,0.29603347,1.3076391,0.87504596,0.62138963,0.6475991,0.61493045,0.2061509,1.3111821,0.72173065,73.062309,27.420624,2.2857144,4.7735848,26.92189,2.1489363,4.5294118,1349,15,54,0.039228838,0.1978022,0.14513788,0.47175995,0.28,0.32659933,3.3779964,0.76473695,1.1427971,6.6907825,1.6335514,2.4689419,4084,47,153,36963,32,253
