Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
262,6,0.84912294,13,0.007168459,0.191182558,0.014051522
263,6,0.84912294,16,0.007168459,0.191182558,0.021077283
264,6,0.8870222,20,0.007168459,0.205230297,0.030444965
265,10,1.1058542,23,0.011947431,0.28634256,0.037470726
266,36,1.5668709,29,0.043010753,0.457222996,0.051522248
267,10,1.1365665,35,0.011947431,0.29772638,0.06557377
268,10,1.1365665,38,0.011947431,0.29772638,0.072599532
269,18,1.471094,44,0.021505376,0.421722333,0.086651054
270,18,1.471094,43,0.021505376,0.421722333,0.084309133
271,10,1.1191936,37,0.011947431,0.291286941,0.070257611
272,30,1.8489804,93,0.035842294,0.561789695,0.201405152
273,24,1.6666666,85,0.028673835,0.494213268,0.182669789
274,12,1.2726263,64,0.014336918,0.348158301,0.133489461
275,22,1.3304729,61,0.026284349,0.369599721,0.1264637
276,14,1.3592209,65,0.016726404,0.380255453,0.135831382
277,50,1.8362781,96,0.059737157,0.557081461,0.208430913
278,89,2.0183253,133,0.106332139,0.624559071,0.295081967
279,269,2.3620975,200,0.321385902,0.751981665,0.451990632
280,294,2.5883479,274,0.35125448,0.835843632,0.62529274
281,42,1.8783784,182,0.050179211,0.572686357,0.409836066
282,24,1.6211112,135,0.028673835,0.477327704,0.299765808
283,34,1.8882366,183,0.040621266,0.576340397,0.412177986
284,304,2.5040345,337,0.363201912,0.804592029,0.772833724
285,58,1.7963344,85,0.069295102,0.542275931,0.182669789
286,68,1.7495173,55,0.081242533,0.524922706,0.112412178
287,26,1.3873683,37,0.031063321,0.390688568,0.070257611
288,8,1.0445806,32,0.009557945,0.263630889,0.058548009
289,8,1.0952908,42,0.009557945,0.28242713,0.081967213
290,26,1.5364467,56,0.031063321,0.445945963,0.114754098
291,75,1.8900454,84,0.089605735,0.577010847,0.180327869
292,92,2.0671797,128,0.109916368,0.642667442,0.283372365
293,43,1.9161526,173,0.051373955,0.586687741,0.388758782
294,80,2.2428508,242,0.09557945,0.707781687,0.550351288
295,78,2.0257483,177,0.093189964,0.62731048,0.398126464
296,121,2.1385241,232,0.144563919,0.669111955,0.526932084
297,150,2.2717023,191,0.17921147,0.718475783,0.430913349
298,0,0.33333334,7,0,0,0
299,4,0.70398736,9,0.004778973,0.137386608,0.004683841
300,6,0.87255627,11,0.007168459,0.199868356,0.009367681
301,6,0.84912294,13,0.007168459,0.191182558,0.014051522
302,6,0.84912294,15,0.007168459,0.191182558,0.018735363
303,6,0.8619656,19,0.007168459,0.195942818,0.028103044
304,8,1.0207884,27,0.009557945,0.254812073,0.046838407
305,26,1.3873683,35,0.031063321,0.390688568,0.06557377
306,26,1.3873369,41,0.031063321,0.390676929,0.079625293
307,26,1.4028426,50,0.031063321,0.396424271,0.100702576
308,29,1.5517242,63,0.034647551,0.451608721,0.131147541
309,31,1.6118186,70,0.037037037,0.47388331,0.147540984
310,65,1.8900454,82,0.077658303,0.577010847,0.175644028
311,18,1.5887082,82,0.021505376,0.465317209,0.175644028
312,77,1.8861139,90,0.091995221,0.575553598,0.194379391
313,64,1.8427275,91,0.07646356,0.559471996,0.196721311
314,20,1.5592874,77,0.023894863,0.454412096,0.163934426
315,30,1.4666082,53,0.035842294,0.420059627,0.107728337
316,22,1.3006579,36,0.026284349,0.358548493,0.067915691
317,8,1,27,0.009557945,0.247106645,0.046838407
318,6,0.94787496,28,0.007168459,0.227785979,0.049180328
319,12,1.2241485,35,0.014336918,0.330189521,0.06557377
320,66,1.7669872,50,0.078853047,0.531398098,0.100702576
321,30,1.4644111,40,0.035842294,0.41924525,0.077283372
322,10,1.1981546,50,0.011947431,0.320554623,0.100702576
323,20,1.4652896,86,0.023894863,0.419570875,0.18501171
324,33,1.7488363,124,0.039426523,0.524670286,0.274004684
325,51,1.7307693,91,0.0609319,0.517973573,0.196721311
326,50,1.9487677,157,0.059737157,0.598776853,0.351288056
327,0,0.33333334,7,0,0,0
328,4,0.70398736,9,0.004778973,0.137386608,0.004683841
329,6,0.87255627,13,0.007168459,0.199868356,0.014051522
330,6,0.8870222,29,0.007168459,0.205230297,0.051522248
331,10,1.1768752,56,0.011947431,0.312667201,0.114754098
332,26,1.7495173,69,0.031063321,0.524922706,0.145199063
333,49,1.9912097,88,0.058542413,0.614508404,0.18969555
334,34,1.7852225,95,0.040621266,0.538157194,0.206088993
335,33,1.7288883,105,0.039426523,0.517276361,0.229508197
336,32,1.7265038,99,0.03823178,0.516392522,0.215456674
337,31,1.7307693,85,0.037037037,0.517973573,0.182669789
338,26,1.8135039,76,0.031063321,0.548639977,0.161592506
