Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
137,6,0.8619656,18,0.017045455,0.214900706,0.031339031
138,6,0.84912294,16,0.017045455,0.20967988,0.025641026
139,6,0.8619656,19,0.017045455,0.214900706,0.034188034
140,8,1.0207884,28,0.022727273,0.279465687,0.05982906
141,26,1.3938289,62,0.073863636,0.4311149,0.156695157
142,8,1.0207884,28,0.022727273,0.279465687,0.05982906
143,6,0.8619656,25,0.017045455,0.214900706,0.051282051
144,6,1.0102814,67,0.017045455,0.275194359,0.170940171
145,18,1.693624,192,0.051136364,0.552988239,0.527065527
146,12,1.2222222,24,0.034090909,0.361352981,0.048433048
147,8,1,27,0.022727273,0.271014742,0.056980057
148,8,1.0697098,42,0.022727273,0.299353318,0.0997151
149,30,1.4724894,57,0.085227273,0.463092133,0.142450142
150,8,1.0445806,38,0.022727273,0.289137742,0.088319088
151,6,0.8870222,25,0.017045455,0.225086768,0.051282051
152,8,1.0207884,30,0.022727273,0.279465687,0.065527066
153,26,1.3873369,50,0.073863636,0.428475759,0.122507123
154,16,1.3006579,38,0.045454545,0.393238828,0.088319088
155,211,2.6795616,269,0.599431818,0.95379368,0.746438746
156,9,1.9198298,240,0.025568182,0.6449459,0.663817664
157,36,1.569167,41,0.102272727,0.502393716,0.096866097
158,10,1.1191936,29,0.028409091,0.319469577,0.062678063
159,6,0.8870222,23,0.017045455,0.225086768,0.045584046
160,6,0.84912294,16,0.017045455,0.20967988,0.025641026
161,6,0.84912294,14,0.017045455,0.20967988,0.01994302
162,6,0.84912294,14,0.017045455,0.20967988,0.01994302
163,6,0.84912294,15,0.017045455,0.20967988,0.022792023
164,6,0.8619656,19,0.017045455,0.214900706,0.034188034
165,8,1.0207884,29,0.022727273,0.279465687,0.062678063
166,26,1.3873369,42,0.073863636,0.428475759,0.0997151
167,8,1.0207884,29,0.022727273,0.279465687,0.062678063
168,6,0.8619656,19,0.017045455,0.214900706,0.034188034
169,6,0.84912294,15,0.017045455,0.20967988,0.022792023
170,6,0.84912294,14,0.017045455,0.20967988,0.01994302
171,6,0.84912294,14,0.017045455,0.20967988,0.01994302
172,6,0.84912294,14,0.017045455,0.20967988,0.01994302
173,6,0.84912294,16,0.017045455,0.20967988,0.025641026
174,6,0.8870222,27,0.017045455,0.225086768,0.056980057
175,10,1.1981546,70,0.028409091,0.35156897,0.179487179
176,47,1.8348413,192,0.133522727,0.610396195,0.527065527
177,8,0.98558021,25,0.022727273,0.265152779,0.051282051
178,12,1.2123377,52,0.034090909,0.357334714,0.128205128
179,24,1.5469,121,0.068181818,0.493341688,0.324786325
180,69,2.1716397,189,0.196022727,0.747312194,0.518518519
181,0,0.72781962,26,0,0.160367398,0.054131054
182,16,1.2123377,55,0.045454545,0.357334714,0.136752137
183,30,1.7495173,85,0.085227273,0.575710102,0.222222222
184,38,1.9363272,116,0.107954545,0.651652458,0.310541311
185,66,1.9916508,113,0.1875,0.674142725,0.301994302
186,54,1.8416041,94,0.153409091,0.613145423,0.247863248
187,0,1.3938289,61,0,0.4311149,0.153846154
188,14,1.6891669,161,0.039772727,0.551176329,0.438746439
189,47,1.8344153,124,0.133522727,0.610223017,0.333333333
190,9,1.3746208,80,0.025568182,0.423306383,0.207977208
191,6,0.8619656,22,0.017045455,0.214900706,0.042735043
192,8,1.0207884,33,0.022727273,0.279465687,0.074074074
193,30,1.8344153,127,0.085227273,0.610223017,0.341880342
194,61,2.1163981,144,0.173295455,0.724855261,0.39031339
195,24,1.8337219,122,0.068181818,0.609941134,0.327635328
196,12,1.4803609,88,0.034090909,0.466292072,0.230769231
197,14,1.3304729,73,0.039772727,0.405359285,0.188034188
198,47,2.0004239,111,0.133522727,0.677709184,0.296296296
199,26,1.7269484,96,0.073863636,0.566535345,0.253561254
200,10,1.2409762,85,0.028409091,0.368976897,0.222222222
201,12,1.2906152,79,0.034090909,0.389156249,0.205128205
202,30,1.8959359,80,0.085227273,0.635232501,0.207977208
203,30,1.8959359,78,0.085227273,0.635232501,0.202279202
204,12,1.2552096,63,0.034090909,0.374763089,0.15954416
205,6,0.91666669,39,0.017045455,0.237137909,0.091168091
206,6,0.84912294,17,0.017045455,0.20967988,0.028490028
207,10,1.1561403,51,0.028409091,0.334489227,0.125356125
208,20,1.569167,43,0.056818182,0.502393716,0.102564103
209,20,1.569167,41,0.056818182,0.502393716,0.096866097
210,10,1.1191936,35,0.028409091,0.319469577,0.07977208
211,6,0.8870222,27,0.017045455,0.225086768,0.056980057
212,6,0.84912294,16,0.017045455,0.20967988,0.025641026
213,6,0.84912294,16,0.017045455,0.20967988,0.025641026
214,6,0.8870222,27,0.017045455,0.225086768,0.056980057
215,56,2.124928,85,0.159090909,0.728322854,0.222222222
216,20,1.6734514,74,0.056818182,0.544787631,0.190883191
217,0,0.9216888,52,0,0.239179507,0.128205128
218,16,1.4516129,101,0.045454545,0.454605374,0.267806268
219,60,1.9805739,127,0.170454545,0.66963972,0.341880342
220,54,2.2015169,146,0.153409091,0.759457936,0.396011396
221,60,1.9775612,142,0.170454545,0.668414991,0.384615385
222,24,1.6100973,128,0.068181818,0.519032788,0.344729345
223,32,1.7841618,113,0.090909091,0.589793857,0.301994302
224,26,1.7288883,101,0.073863636,0.567323957,0.267806268
225,40,2.0229185,155,0.113636364,0.686853737,0.421652422
226,63,2.1913517,148,0.178977273,0.755325558,0.401709402
227,8,1.0207884,27,0.022727273,0.279465687,0.056980057
228,6,0.8619656,19,0.017045455,0.214900706,0.034188034
229,6,0.84912294,15,0.017045455,0.20967988,0.022792023
230,6,0.84912294,15,0.017045455,0.20967988,0.022792023
231,6,0.8619656,20,0.017045455,0.214900706,0.037037037
232,8,1,26,0.022727273,0.271014742,0.054131054
233,14,1.3057258,30,0.039772727,0.395299042,0.065527066
234,54,1.8833622,117,0.153409091,0.630121014,0.313390313
235,40,1.7325417,104,0.113636364,0.568809145,0.276353276
236,36,1.6741856,95,0.102272727,0.5450861,0.250712251
237,36,1.6741856,93,0.102272727,0.5450861,0.245014245
238,40,1.7288883,92,0.113636364,0.567323957,0.242165242
239,50,1.8369439,89,0.142045455,0.611250948,0.233618234
240,50,1.8489804,81,0.142045455,0.616144052,0.210826211
241,18,1.4803609,69,0.051136364,0.466292072,0.176638177
242,10,1.1768752,54,0.028409091,0.342918423,0.133903134
243,14,1.3006579,44,0.039772727,0.393238828,0.105413105
244,14,1.2989333,38,0.039772727,0.39253774,0.088319088
245,8,1.0207884,32,0.022727273,0.279465687,0.071225071
246,8,1,27,0.022727273,0.271014742,0.056980057
247,12,1.2222222,24,0.034090909,0.361352981,0.048433048
248,12,1.2063863,29,0.034090909,0.354915338,0.062678063
249,10,1.1365665,42,0.028409091,0.326532045,0.0997151
250,16,1.3938289,56,0.045454545,0.4311149,0.13960114
251,44,1.8328277,61,0.125,0.609577622,0.153846154
252,60,1.9862185,66,0.170454545,0.671934375,0.168091168
253,22,1.6037242,74,0.0625,0.516441982,0.190883191
254,14,1.40625,93,0.039772727,0.436164352,0.245014245
255,28,1.7812788,97,0.079545455,0.588621854,0.256410256
256,28,1.7812788,97,0.079545455,0.588621854,0.256410256
257,14,1.40625,93,0.039772727,0.436164352,0.245014245
258,22,1.6071428,87,0.0625,0.517831719,0.227920228
259,58,1.8962001,87,0.164772727,0.635339904,0.227920228
260,44,1.7852225,77,0.125,0.590225055,0.199430199
261,24,1.4635203,60,0.068181818,0.459445996,0.150997151
262,0,0.69804502,16,0,0.148263364,0.025641026
263,12,1.1492875,22,0.034090909,0.331703413,0.042735043
264,16,1.375,30,0.045454545,0.423460536,0.065527066
265,20,1.3873369,73,0.056818182,0.428475759,0.188034188
266,30,1.6413553,134,0.085227273,0.531739857,0.361823362
267,56,2.2271631,163,0.159090909,0.769883684,0.444444444
268,92,2.3978243,171,0.261363636,0.839261236,0.467236467
269,48,2.1057987,155,0.136363636,0.720546371,0.421652422
270,24,1.5226898,122,0.068181818,0.483499706,0.327635328
