Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3,Integration [HH] R3,Total Depth R3
228,10,1.1087778,16,0.075757576,0.374713116,0.102040816
229,10,1.1,19,0.075757576,0.370471475,0.132653061
230,12,1.2241485,30,0.090909091,0.430462969,0.244897959
231,16,1.3076391,32,0.121212121,0.470807603,0.265306122
232,18,1.3873683,28,0.136363636,0.509334639,0.224489796
233,36,1.8599865,37,0.272727273,0.737714939,0.316326531
234,13,1.3988512,25,0.098484848,0.514883448,0.193877551
235,7,1.0207884,23,0.053030303,0.332194556,0.173469388
236,8,1.0697098,29,0.060606061,0.355834534,0.234693878
237,19,1.5365106,41,0.143939394,0.581403729,0.357142857
238,25,1.6812503,28,0.189393939,0.651345377,0.224489796
239,8,1.3057258,23,0.060606061,0.469883051,0.173469388
240,4,1.1058542,22,0.03030303,0.373300363,0.163265306
241,10,1.3988512,25,0.075757576,0.514883448,0.193877551
242,14,1.3057258,23,0.106060606,0.469883051,0.173469388
243,6,0.8619656,15,0.045454545,0.25544762,0.091836735
244,0,0.42239243,9,0,0.04303546,0.030612245
245,0,0.98558021,17,0,0.315181125,0.112244898
246,12,1.2222222,18,0.090909091,0.429532135,0.12244898
247,8,1,20,0.060606061,0.322149109,0.142857143
248,8,1,20,0.060606061,0.322149109,0.142857143
249,12,1.2052853,24,0.090909091,0.421347824,0.183673469
250,20,1.7740444,13,0.151515152,0.696185683,0.071428571
251,16,1.4028426,40,0.121212121,0.516812187,0.346938776
252,8,1.0207884,23,0.060606061,0.332194556,0.173469388
253,6,0.8619656,15,0.045454545,0.25544762,0.091836735
254,6,0.8619656,15,0.045454545,0.25544762,0.091836735
255,8,1.0207884,23,0.060606061,0.332194556,0.173469388
256,16,1.3938289,37,0.121212121,0.512456554,0.316326531
257,37,1.7269484,50,0.28030303,0.673427781,0.448979592
258,30,1.6037242,43,0.227272727,0.613882931,0.37755102
259,19,1.4635203,36,0.143939394,0.546133088,0.306122449
260,17,1.3938289,37,0.128787879,0.512456554,0.316326531
261,28,1.5405476,35,0.212121212,0.583354503,0.295918367
262,14,1.2989333,26,0.106060606,0.466600754,0.204081633
263,8,1.0207884,23,0.060606061,0.332194556,0.173469388
264,8,1,20,0.060606061,0.322149109,0.142857143
265,12,1.2063863,21,0.090909091,0.421879854,0.153061224
266,14,1.3006579,29,0.106060606,0.467434122,0.234693878
267,10,1.1191936,25,0.075757576,0.379746277,0.193877551
268,12,1.2052853,24,0.090909091,0.421347824,0.183673469
269,18,1.4135897,43,0.136363636,0.52200544,0.37755102
270,20,1.5,51,0.151515152,0.563760943,0.459183673
271,36,1.6828449,39,0.272727273,0.652115926,0.336734694
272,32,1.6037242,43,0.242424242,0.613882931,0.37755102
273,18,1.3938289,37,0.136363636,0.512456554,0.316326531
274,16,1.3076391,32,0.121212121,0.470807603,0.265306122
275,16,1.3006579,29,0.121212121,0.467434122,0.234693878
276,16,1.2989333,26,0.121212121,0.466600754,0.204081633
277,24,1.4644111,33,0.181818182,0.546563544,0.275510204
278,16,1.3845592,31,0.121212121,0.507977216,0.255102041
279,8,1,20,0.060606061,0.322149109,0.142857143
280,4,0.69804502,10,0.03030303,0.176237316,0.040816327
281,0,0.33333334,6,0,0,0
282,36,1.7572933,30,0.272727273,0.688091155,0.244897959
283,0,1.1365665,28,0,0.388141274,0.224489796
284,0,1.2052853,24,0,0.421347824,0.183673469
285,32,1.6261337,34,0.242424242,0.624711732,0.285714286
286,0,1.1,19,0,0.370471475,0.132653061
287,28,1.7409676,20,0.212121212,0.68020219,0.142857143
288,16,1.375,17,0.121212121,0.503357984,0.112244898
289,0,1.2052853,24,0,0.421347824,0.183673469
290,28,1.569167,29,0.212121212,0.597184074,0.234693878
291,0,1.1,19,0,0.370471475,0.132653061
292,24,1.5154221,24,0.181818182,0.571213266,0.183673469
293,11,1.2222222,18,0.083333333,0.429532135,0.12244898
294,7,1.1058542,22,0.053030303,0.373300363,0.163265306
295,10,1.3076391,32,0.075757576,0.470807603,0.265306122
296,20,1.4244281,22,0.151515152,0.527242812,0.163265306
297,0,1.2052853,24,0,0.421347824,0.183673469
298,20,1.3845592,31,0.151515152,0.507977216,0.255102041
299,18,1.4864661,27,0.136363636,0.557221042,0.214285714
300,10,1.1058542,22,0.075757576,0.373300363,0.163265306
301,6,0.8870222,18,0.045454545,0.267555562,0.12244898
