Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1224,-4090.03599233,4358.24071157,-4031.67832176,4358.77812361,43616,6,596,270902,160,6616,0.03356003,0.10204082,0.036511738,0.045905247,0.057142857,0.035400331,2,1,0.5,3.9914219,1.1216408,2.2465572,4.9005275,3.6666667,6.6520643,0.74253803,1.0983083,1.0875236,0.74253803,1.0983083,1.0875236,0.68161929,0.61229616,0.67014593,0.37765941,0.78027183,0.49243256,58.360146,11.577229,2.5999999,5.5923915,11.060229,2.5178571,5.5049834,1380,16,185,0.015351567,0.22857143,0.050190069,0.69379658,0.11111111,0.21975993,1.3467324,0.91049111,0.91952032,3.8362348,2.2293227,3.0304067,4018,56,602,15965,39,1029
1225,-4047.54515537,4354.74758217,-3852.43289978,4485.50140976,40920,10,384,255090,102,4772,0.031601198,0.21227887,0.052100621,0.043067746,0.22222222,0.045796063,2,0.75,0.33333334,4.0118566,1.5085742,2.1248596,5.0229383,4,6.6663084,0.67972004,1.1058542,0.9355852,0.67972004,1.1058542,0.9355852,0.67539263,0.60528529,0.64690262,0.3474777,1.5085742,0.44465908,234.87306,12.554749,2.2,5.8230767,12.043803,2.1612904,5.7686915,1380,11,131,0.016770318,0.26666668,0.074776389,0.67467028,0.29411766,0.17391305,1.4711939,0.9042784,1.0688498,3.9291835,1.4395257,3.2566431,4018,31,428,17313,22,757
1226,-3902.00198358,4460.18751165,-3360.88986707,4661.75639327,38315,35,331,231682,196,3368,0.028701356,0.57988167,0.089071073,0.040326018,0.63636363,0.10474683,4,2,0.5,4.0230994,1.5566417,2.0736792,4.9305439,4.8000002,5.2459016,0.62662923,1.5668709,0.80627286,0.62662923,1.5668709,0.80627286,0.66976345,0.69897002,0.61834157,0.32123342,2.0755222,0.44086093,577.43597,13.53372,1.9090909,5.7750001,13.028373,1.6153846,5.8763638,1380,12,81,0.018191176,0.18181819,0.12088607,0.65651828,0.47368422,0.16775599,1.59584,0.63821465,1.2402749,4.033452,1.1702437,3.4330122,4018,26,275,18663,21,462
1227,-3400.54514141,4638.64369701,-3068.90409007,4868.96094689,21936,10,100,128050,88,856,0.01586316,0.30555555,0.082561731,0.023087343,0.22222222,0.11074197,2,0.75,0.33333334,4.0331883,1.5085742,2.3118806,4.7616525,4,4.0223465,0.58085698,1.1058542,0.69678277,0.58085698,1.1058542,0.69678277,0.66459721,0.60528529,0.5820033,0.29851434,1.5085742,0.54689646,403.772,14.521392,2.2,5.3488374,14.019911,1.9166666,5.625,1380,11,44,0.019624662,0.26666668,0.20708749,0.63907009,0.29411766,0.21097046,1.7215941,0.9042784,1.4351676,4.1210241,1.4395257,3.0889723,4018,24,144,20025,22,230
1228,-3102.18163012,4859.47383823,-3033.67373761,4836.51275981,19208,6,78,112102,60,538,0.013887482,0.30000001,0.18148085,0.02021616,0.21428572,0.23999999,2,1,0.5,4.0401058,1.4843777,2.5787807,4.6351881,3.2,3.3684211,0.54126233,0.8870222,0.64970315,0.54126233,0.8870222,0.64970315,0.6598596,0.54406804,0.55336022,0.27864191,1.4843777,0.73291659,72.253319,15.510515,2.25,4.6923075,15.012444,2,5.0389609,1380,9,27,0.021060254,0.35714287,0.29538462,0.62245995,0.23076923,0.2888889,1.8475329,1.1273675,1.5391645,4.2100077,1.47219,2.5169549,4018,20,77,21389,18,122
1229,-3057.87579068,4838.28423585,-2983.7311615,4857.77949032,16476,6,68,96134,46,396,0.011909325,0.31833911,0.37429112,0.017340766,0.40000001,0.44444445,2,1,0.5,4.0418377,1.5491613,2.5712135,4.1810265,2.6666667,2.3188405,0.50667381,0.84912294,0.66678762,0.50667381,0.84912294,0.66678762,0.65548903,0.51139158,0.53901988,0.26094672,2.1688259,0.93948179,76.664795,16.501087,2,3.9444444,16.005974,1.9411764,4.152174,1380,7,19,0.02249795,0.40000001,0.34640524,0.60662496,0.33333334,0.39080459,1.9736563,1.1776857,1.499728,4.3014212,1.0911623,1.9817334,4018,17,46,22755,12,71
1230,-3030.1257615,5006.80987817,-2991.10225901,4840.88360032,13740,6,56,80150,48,318,0.0099291867,0.375,0.46457267,0.014461163,0.2857143,0.41176471,2,1,0.5,4.045711,1.5306391,2.7013369,4.0583725,3,2.6666667,0.47619852,0.8619656,0.60878074,0.47619852,0.8619656,0.60878074,0.65143585,0.52832085,0.52375031,0.24548569,1.7493018,0.93507814,170.4534,17.493111,2.1428571,4.1176472,17.000498,1.8125,3.8648648,1380,8,18,0.023937752,0.38095239,0.3897059,0.59150833,0.27272728,0.34567901,2.0999644,1.1601391,1.6426275,4.3872623,1.2942394,2.0481989,4018,16,37,24123,15,70
1231,-3014.63574224,4876.77689494,-2783.87499512,5014.30331199,11000,8,44,64148,52,248,0.0079468181,0.46222222,0.45546374,0.011577351,0.38095239,0.41904762,2,0.83333331,0.40000001,4.0471601,1.5306391,2.6084585,3.6377525,3,2,0.44914404,0.98510355,0.56083828,0.44914404,0.98510355,0.56083828,0.64765972,0.56457502,0.5054118,0.23162116,2.0408521,0.90728992,268.63364,18.486584,2,4.1333332,17.996017,1.6,3.939394,1380,8,16,0.025379658,0.33333334,0.44761905,0.57705867,0.36363637,0.31884059,2.2264571,1.0151217,1.7830452,4.471601,1.1403179,2.2827094,4018,15,33,25493,14,62
1232,-2843.7339726,4991.16575325,-2741.93003152,4844.04583958,8260,14,38,44124,49,167,0.0054661934,0.57988167,0.45816186,0.0086935377,0.93333334,0.57575756,3,2,0.60000002,4.0486097,1.4413203,2.5304232,3.309948,2.1818182,1.5483871,0.42496505,1.2736844,0.53485489,0.42496505,1.2736844,0.53485489,0.64412731,0.66096407,0.48342988,0.21923019,3.3630807,0.99683338,178.90866,19.481508,1.6666666,3.8333333,18.992533,1.3076923,3.7407408,1380,7,13,0.02682367,0.26666668,0.5151515,0.56322944,0.55555558,0.33333334,2.3531346,0.78512388,1.8696661,4.5516434,0.85354406,2.3094139,4018,13,27,26865,10,46
1233,-2768.1456429,4864.12749118,-2574.31379677,5016.0519218,0,0,0,4014,7,17,0.00049726455,0.11570248,0.077097505,0,0,0,1,0.33333334,0.33333334,4.0506058,1.4874687,2.5897353,3.1160991,2,1.3333334,0.40316629,0.58170414,0.45833334,0.40316629,0.58170414,0.45833334,0.64080149,0.3868528,0.43620858,0.20808682,1.7849625,1.1259719,246.27589,20.480783,2.2,3.6666667,19.992035,1.8181819,3.7142856,1380,6,10,0.028273996,0.60000002,0.66666669,0.5499112,0.14285715,0.27272728,2.480366,1.7190869,2.1818182,4.6168308,1.2149562,1.7177163,4018,11,21,28243,11,33
