Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
279,18,1.3873683,40,0.028213166,0.405583607,0.078199052
280,38,2.0903182,225,0.059561129,0.676072695,0.516587678
281,73,1.9999412,186,0.114420063,0.641296401,0.424170616
282,22,1.6132691,52,0.034482759,0.492508296,0.106635071
283,42,2.0180571,137,0.065830721,0.648267244,0.308056872
284,46,1.9805739,134,0.072100313,0.633844031,0.300947867
285,0,1.5395753,90,0,0.464151554,0.196682464
286,12,1.3272201,80,0.018808777,0.382439096,0.172985782
287,20,1.5992693,103,0.031347962,0.487121293,0.227488152
288,168,2.2908418,154,0.263322884,0.753232456,0.348341232
289,36,1.7841618,118,0.056426332,0.55826634,0.263033175
290,28,1.8344558,113,0.043887147,0.57761904,0.251184834
291,24,1.7812788,114,0.037617555,0.557156986,0.253554502
292,35,1.7841618,121,0.054858934,0.55826634,0.27014218
293,36,1.8344153,122,0.056426332,0.577603456,0.272511848
294,35,1.7820429,113,0.054858934,0.557451006,0.251184834
295,39,1.7426945,118,0.061128527,0.542310079,0.263033175
296,54,1.8861139,103,0.084639498,0.597496633,0.227488152
297,48,1.8489804,83,0.07523511,0.583207981,0.180094787
298,245,2.4753733,241,0.384012539,0.824238593,0.55450237
299,134,2.2410283,211,0.210031348,0.734064648,0.483412322
300,52,1.9145788,169,0.081504702,0.608449682,0.383886256
301,41,1.8362781,128,0.064263323,0.578320245,0.286729858
302,47,1.8416041,100,0.073667712,0.580369644,0.220379147
303,20,1.5365106,74,0.031347962,0.462972284,0.158767773
304,12,1.2552096,61,0.018808777,0.354730073,0.127962085
305,16,1.4382962,81,0.02507837,0.425180226,0.17535545
306,40,1.7325417,98,0.062695925,0.538403369,0.21563981
307,56,1.8833622,107,0.087774295,0.596437803,0.236966825
308,50,1.8344558,96,0.078369906,0.57761904,0.210900474
309,36,1.6673985,85,0.056426332,0.513336824,0.184834123
310,28,1.5395753,76,0.043887147,0.464151554,0.163507109
311,0,1.2552096,70,0,0.354730073,0.1492891
312,21,1.7265038,104,0.032915361,0.536080037,0.22985782
313,79,2.0598946,164,0.123824451,0.664365955,0.372037915
