Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
303,10,1.1365665,41,0.003408316,0.244382944,0.035940803
304,22,1.6132691,53,0.007498296,0.389419269,0.048625793
305,22,1.6132691,53,0.007498296,0.389419269,0.048625793
306,10,1.1365665,41,0.003408316,0.244382944,0.035940803
307,6,0.8870222,31,0.00204499,0.168459322,0.025369979
308,6,0.91666669,36,0.00204499,0.177478631,0.030655391
309,12,1.2906152,73,0.00408998,0.291252119,0.069767442
310,57,1.9363272,120,0.019427403,0.487709396,0.119450317
311,59,2.0671797,136,0.020109066,0.527521148,0.136363636
312,56,1.9415878,110,0.019086571,0.489309929,0.108879493
313,12,1.2906152,72,0.00408998,0.291252119,0.068710359
314,6,0.91666669,34,0.00204499,0.177478631,0.028541226
315,6,0.84912294,16,0.00204499,0.156928508,0.009513742
316,6,0.87255627,11,0.00204499,0.164058077,0.00422833
317,4,0.70398736,9,0.001363327,0.112771142,0.002114165
318,0,0.33333334,7,0,0,0
319,14,1.3076391,56,0.004771643,0.296431624,0.05179704
320,12,1.2906152,72,0.00408998,0.291252119,0.068710359
321,26,1.7269484,87,0.008861622,0.42400609,0.084566596
322,58,2.124928,91,0.019768234,0.545091015,0.088794926
323,34,1.9341822,88,0.011588275,0.487056782,0.085623679
324,35,1.8962001,112,0.011929107,0.475500763,0.110993658
325,50,2.0790501,108,0.017041581,0.531132706,0.106765328
326,26,1.7307693,85,0.008861622,0.425168596,0.082452431
327,10,1.1981546,67,0.003408316,0.263121067,0.063424947
328,8,1.0952908,55,0.002726653,0.231824851,0.050739958
329,18,1.4635203,52,0.006134969,0.343858335,0.04756871
330,852,3.0622792,706,0.290388548,0.830279249,0.738900634
331,168,2.3519452,359,0.057259714,0.614160788,0.372093023
332,93,2.0183253,168,0.031697342,0.512657242,0.170190275
333,23,1.7700537,150,0.007839127,0.437120838,0.151162791
334,37,1.5517242,82,0.01261077,0.37069429,0.079281184
335,14,1.3304729,58,0.004771643,0.303378787,0.053911205
336,20,1.5364467,57,0.006816633,0.366046125,0.052854123
337,20,1.550553,51,0.006816633,0.370337953,0.046511628
338,10,1.1191936,35,0.003408316,0.239097256,0.029598309
339,6,0.91666669,33,0.00204499,0.177478631,0.027484144
340,8,1.0445806,36,0.002726653,0.21639632,0.030655391
341,30,1.5,72,0.010224949,0.35495725,0.068710359
342,8,1.0445806,34,0.002726653,0.21639632,0.028541226
343,6,0.8619656,20,0.00204499,0.160835875,0.013742072
344,6,0.84912294,17,0.00204499,0.156928508,0.010570825
345,6,0.8870222,22,0.00204499,0.168459322,0.015856237
346,10,1.1365665,31,0.003408316,0.244382944,0.025369979
347,48,1.6132691,44,0.016359918,0.389419269,0.039112051
348,10,1.1365665,31,0.003408316,0.244382944,0.025369979
349,6,0.8870222,22,0.00204499,0.168459322,0.015856237
350,6,0.84912294,16,0.00204499,0.156928508,0.009513742
351,6,0.84912294,14,0.00204499,0.156928508,0.007399577
352,6,0.84912294,14,0.00204499,0.156928508,0.007399577
353,6,0.84912294,14,0.00204499,0.156928508,0.007399577
354,6,0.84912294,14,0.00204499,0.156928508,0.007399577
355,6,0.84912294,14,0.00204499,0.156928508,0.007399577
356,6,0.84912294,14,0.00204499,0.156928508,0.007399577
357,6,0.84912294,14,0.00204499,0.156928508,0.007399577
358,6,0.84912294,14,0.00204499,0.156928508,0.007399577
359,6,0.84912294,15,0.00204499,0.156928508,0.00845666
360,6,0.8619656,17,0.00204499,0.160835875,0.010570825
361,8,0.98558021,21,0.002726653,0.198445506,0.014799154
362,18,1.2052853,30,0.006134969,0.265290576,0.024312896
363,30,1.4635203,48,0.010224949,0.343858335,0.043340381
364,8,1.0445806,30,0.002726653,0.21639632,0.024312896
365,6,0.8619656,20,0.00204499,0.160835875,0.013742072
366,6,0.84912294,15,0.00204499,0.156928508,0.00845666
367,6,0.84912294,14,0.00204499,0.156928508,0.007399577
368,6,0.84912294,14,0.00204499,0.156928508,0.007399577
369,6,0.84912294,14,0.00204499,0.156928508,0.007399577
370,6,0.84912294,14,0.00204499,0.156928508,0.007399577
371,6,0.84912294,14,0.00204499,0.156928508,0.007399577
372,6,0.84912294,14,0.00204499,0.156928508,0.007399577
373,6,0.84912294,14,0.00204499,0.156928508,0.007399577
374,6,0.84912294,15,0.00204499,0.156928508,0.00845666
375,6,0.8619656,19,0.00204499,0.160835875,0.012684989
376,8,0.98558021,21,0.002726653,0.198445506,0.014799154
377,12,1.2222222,24,0.00408998,0.270443612,0.017970402
378,27,1.5842677,109,0.009202454,0.38059562,0.10782241
379,48,1.7841618,93,0.016359918,0.441413214,0.090909091
380,10,1.1981546,53,0.003408316,0.263121067,0.048625793
381,6,0.94787496,37,0.00204499,0.186973718,0.031712474
382,10,1.1561403,38,0.003408316,0.250338255,0.032769556
383,6,0.84912294,14,0.00204499,0.156928508,0.007399577
384,6,0.84912294,14,0.00204499,0.156928508,0.007399577
385,6,0.84912294,14,0.00204499,0.156928508,0.007399577
386,6,0.84912294,14,0.00204499,0.156928508,0.007399577
387,30,1.4803609,65,0.010224949,0.348982072,0.061310782
388,26,1.3845592,37,0.008861622,0.319834494,0.031712474
389,40,1.7925211,48,0.013633265,0.443956524,0.043340381
390,40,1.8294003,45,0.013633265,0.455176986,0.040169133
391,12,1.2989333,38,0.00408998,0.293782893,0.032769556
392,0,0.68957245,27,0,0.108385419,0.021141649
393,0,0.49860358,21,0,0.050283317,0.014799154
394,8,1.0952908,41,0.002726653,0.231824851,0.035940803
395,55,1.7909094,59,0.01874574,0.443466165,0.054968288
396,10,1.1981546,45,0.003408316,0.263121067,0.040169133
397,6,0.8870222,28,0.00204499,0.168459322,0.022198732
398,6,0.84912294,16,0.00204499,0.156928508,0.009513742
399,6,0.84912294,14,0.00204499,0.156928508,0.007399577
400,6,0.84912294,14,0.00204499,0.156928508,0.007399577
401,6,0.84912294,14,0.00204499,0.156928508,0.007399577
402,6,0.84912294,14,0.00204499,0.156928508,0.007399577
403,6,0.84912294,14,0.00204499,0.156928508,0.007399577
404,6,0.84912294,14,0.00204499,0.156928508,0.007399577
405,6,0.84912294,14,0.00204499,0.156928508,0.007399577
406,6,0.84912294,14,0.00204499,0.156928508,0.007399577
407,6,0.84912294,14,0.00204499,0.156928508,0.007399577
408,6,0.84912294,14,0.00204499,0.156928508,0.007399577
409,6,0.84912294,14,0.00204499,0.156928508,0.007399577
410,6,0.84912294,14,0.00204499,0.156928508,0.007399577
411,6,0.84912294,14,0.00204499,0.156928508,0.007399577
412,6,0.84912294,16,0.00204499,0.156928508,0.009513742
413,6,0.8870222,28,0.00204499,0.168459322,0.022198732
414,10,1.1365665,47,0.003408316,0.244382944,0.042283298
415,22,1.6042534,82,0.007498296,0.38667625,0.079281184
416,22,1.6666666,86,0.007498296,0.405665409,0.083509514
417,31,1.6178579,101,0.010565781,0.390815407,0.099365751
418,12,1.3636364,97,0.00408998,0.313468751,0.095137421
419,26,1.7269484,91,0.008861622,0.42400609,0.088794926
420,49,2.0462267,92,0.01670075,0.521146217,0.089852008
421,26,1.7307693,82,0.008861622,0.425168596,0.079281184
422,10,1.1768752,59,0.003408316,0.256646829,0.054968288
423,6,0.8870222,30,0.00204499,0.168459322,0.024312896
424,6,0.84912294,16,0.00204499,0.156928508,0.009513742
425,6,0.84912294,14,0.00204499,0.156928508,0.007399577
426,6,0.84912294,14,0.00204499,0.156928508,0.007399577
427,6,0.84912294,14,0.00204499,0.156928508,0.007399577
428,6,0.8870222,29,0.00204499,0.168459322,0.023255814
429,10,1.1561403,49,0.003408316,0.250338255,0.044397463
430,24,1.6684235,68,0.008179959,0.406199944,0.06448203
431,42,1.8135039,68,0.014314928,0.450340521,0.06448203
432,16,1.3873369,54,0.005453306,0.320679606,0.049682875
433,8,1.0207884,35,0.002726653,0.209157565,0.029598309
434,6,0.8619656,23,0.00204499,0.160835875,0.016913319
435,6,0.8870222,26,0.00204499,0.168459322,0.020084567
436,10,1.1768752,44,0.003408316,0.256646829,0.039112051
437,47,1.7257152,73,0.016019087,0.42363089,0.069767442
438,31,1.6503496,93,0.010565781,0.400700976,0.090909091
439,38,1.7251066,114,0.012951602,0.423445724,0.113107822
440,28,1.6857162,116,0.009543286,0.411461232,0.115221987
441,67,1.9384046,187,0.022835719,0.488341443,0.190274841
442,36,1.6118186,113,0.012269939,0.388977955,0.11205074
443,20,1.6994165,180,0.006816633,0.415629535,0.182875264
444,114,2.4315341,462,0.038854806,0.638375637,0.480972516
445,8,1.0207884,26,0.002726653,0.209157565,0.020084567
446,6,0.8619656,19,0.00204499,0.160835875,0.012684989
447,6,0.84912294,17,0.00204499,0.156928508,0.010570825
448,6,0.8870222,25,0.00204499,0.168459322,0.019027484
449,10,1.1768752,43,0.003408316,0.256646829,0.038054968
450,54,1.7257152,67,0.018404908,0.42363089,0.063424947
451,32,1.5598243,68,0.010906612,0.373158738,0.06448203
452,0,0.33333334,9,0,0,0.002114165
453,0,1.3270249,35,0,0.302329736,0.029598309
454,18,1.5668709,37,0.006134969,0.375302659,0.031712474
455,10,1.1058542,35,0.003408316,0.235038756,0.029598309
456,6,0.8870222,26,0.00204499,0.168459322,0.020084567
457,6,0.84912294,16,0.00204499,0.156928508,0.009513742
458,6,0.84912294,14,0.00204499,0.156928508,0.007399577
459,6,0.84912294,14,0.00204499,0.156928508,0.007399577
460,6,0.84912294,14,0.00204499,0.156928508,0.007399577
461,6,0.84912294,14,0.00204499,0.156928508,0.007399577
462,6,0.84912294,14,0.00204499,0.156928508,0.007399577
