Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
160,11,1.3270249,32,0.020952381,0.381460214,0.063613232
161,16,1.3270249,31,0.03047619,0.381460214,0.061068702
162,14,1.2063863,33,0.026666667,0.335149238,0.066157761
163,14,1.2123377,47,0.026666667,0.337433873,0.10178117
164,20,1.4803609,80,0.038095238,0.440323131,0.185750636
165,52,1.9363272,109,0.099047619,0.615360345,0.259541985
166,77,2.1680176,121,0.146666667,0.704302099,0.290076336
167,56,1.9415878,105,0.106666667,0.617379794,0.249363868
168,10,1.2196002,72,0.019047619,0.340221815,0.165394402
169,10,1.2196002,74,0.019047619,0.340221815,0.170483461
170,10,1.1981546,76,0.019047619,0.331989237,0.175572519
171,24,1.6666666,106,0.045714286,0.511842519,0.251908397
172,67,2.1240644,156,0.127619048,0.68742926,0.37913486
173,54,2.222218,159,0.102857143,0.725108652,0.386768448
174,10,1.2196002,74,0.019047619,0.340221815,0.170483461
175,26,1.7379411,78,0.04952381,0.53920351,0.180661578
176,49,2.0269725,93,0.093333333,0.650157436,0.218829517
177,32,1.7812788,99,0.060952381,0.555840069,0.234096692
178,24,1.5517242,85,0.045714286,0.467718211,0.198473282
179,16,1.3938289,61,0.03047619,0.407105061,0.13740458
180,10,1.1561403,47,0.019047619,0.315860708,0.10178117
181,14,1.2989333,39,0.026666667,0.370676357,0.081424936
182,24,1.471094,51,0.045714286,0.436765736,0.111959288
183,22,1.4803609,76,0.041904762,0.440323131,0.175572519
184,32,1.7852225,89,0.060952381,0.557353984,0.208651399
185,12,1.2063863,31,0.022857143,0.335149238,0.061068702
186,8,1.0207884,34,0.015238095,0.263901562,0.06870229
187,10,1.1191936,35,0.019047619,0.301677538,0.071246819
188,18,1.5154221,35,0.034285714,0.453782491,0.071246819
189,10,1.2196002,84,0.019047619,0.340221815,0.195928753
190,27,1.9513603,58,0.051428571,0.62113128,0.129770992
191,0,1.471094,55,0,0.436765736,0.122137405
192,8,1.1208336,64,0.015238095,0.302307104,0.145038168
193,20,1.5517242,93,0.038095238,0.467718211,0.218829517
194,50,1.9916508,119,0.095238095,0.636598074,0.284987277
195,62,2.0789747,132,0.118095238,0.67012014,0.318066158
196,56,2.0119839,113,0.106666667,0.644403584,0.269720102
197,16,1.4803609,87,0.03047619,0.440323131,0.203562341
198,0,0.78571427,43,0,0.173660856,0.091603053
199,24,1.8888417,245,0.045714286,0.597131521,0.605597964
200,438,2.8564475,361,0.834285714,0.968577884,0.900763359
201,39,2.0161357,241,0.074285714,0.645997385,0.595419847
202,31,1.6037242,75,0.059047619,0.48768007,0.17302799
203,24,1.5448366,78,0.045714286,0.465074186,0.180661578
204,22,1.4644111,61,0.041904762,0.434200291,0.13740458
205,0,1.2052853,45,0,0.334726584,0.096692112
206,0,1.2906152,83,0,0.367483189,0.193384224
207,33,1.8839941,127,0.062857143,0.595270615,0.305343511
208,6,0.8619656,20,0.011428571,0.202932362,0.03307888
209,8,1,28,0.015238095,0.255921271,0.053435115
210,14,1.3006579,41,0.026666667,0.3713384,0.086513995
211,14,1.3006579,41,0.026666667,0.3713384,0.086513995
212,8,1,29,0.015238095,0.255921271,0.055979644
213,6,0.8870222,25,0.011428571,0.212551137,0.045801527
214,8,0.98558021,22,0.015238095,0.250385774,0.038167939
215,12,1.2222222,23,0.022857143,0.341228354,0.040712468
216,12,1.2222222,23,0.022857143,0.341228354,0.040712468
217,8,0.98558021,22,0.015238095,0.250385774,0.038167939
218,6,0.8870222,25,0.011428571,0.212551137,0.045801527
219,8,1,30,0.015238095,0.255921271,0.058524173
220,14,1.3076391,50,0.026666667,0.374018356,0.109414758
221,14,1.3076391,50,0.026666667,0.374018356,0.109414758
222,8,1,29,0.015238095,0.255921271,0.055979644
223,6,0.8619656,20,0.011428571,0.202932362,0.03307888
224,6,0.84912294,15,0.011428571,0.198002297,0.020356234
225,6,0.84912294,14,0.011428571,0.198002297,0.017811705
226,6,0.84912294,15,0.011428571,0.198002297,0.020356234
227,32,1.6261337,51,0.060952381,0.496282672,0.111959288
228,23,1.6474625,49,0.043809524,0.504470412,0.106870229
229,14,1.3006579,45,0.026666667,0.3713384,0.096692112
230,8,1.0207884,34,0.015238095,0.263901562,0.06870229
231,8,1,27,0.015238095,0.255921271,0.050890585
232,12,1.2222222,24,0.022857143,0.341228354,0.043256997
233,12,1.2222222,24,0.022857143,0.341228354,0.043256997
234,8,1,26,0.015238095,0.255921271,0.048346056
235,8,1,26,0.015238095,0.255921271,0.048346056
236,12,1.2222222,24,0.022857143,0.341228354,0.043256997
237,12,1.2222222,23,0.022857143,0.341228354,0.040712468
238,8,0.98558021,21,0.015238095,0.250385774,0.03562341
239,6,0.8619656,19,0.011428571,0.202932362,0.030534351
240,6,0.84912294,15,0.011428571,0.198002297,0.020356234
