Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
159,52,1.8597906,89,0.038690476,0.549179524,0.140893471
160,22,1.6132691,62,0.016369048,0.460487515,0.094501718
161,40,2.0631814,197,0.029761905,0.622354231,0.326460481
162,101,2.4248557,262,0.07514881,0.752475214,0.43814433
163,12,1.2063863,32,0.008928571,0.314101692,0.042955326
164,8,1.0207884,36,0.005952381,0.247328407,0.049828179
165,10,1.1561403,53,0.007440476,0.296024492,0.079037801
166,22,1.6118186,104,0.016369048,0.459965663,0.166666667
167,34,1.7626089,153,0.025297619,0.514216082,0.250859107
168,44,2.0094504,217,0.032738095,0.603023218,0.360824742
169,33,1.9051077,81,0.024553571,0.565483435,0.127147766
170,25,1.7269484,75,0.01860119,0.501386364,0.116838488
171,8,1.1561403,49,0.005952381,0.296024492,0.072164948
172,229,2.4713523,298,0.170386905,0.769203478,0.5
173,119,2.3726842,292,0.088541667,0.733705269,0.489690722
174,227,2.5006499,282,0.16889881,0.779743991,0.472508591
175,227,2.4034216,220,0.16889881,0.744763784,0.365979381
176,30,1.8344153,125,0.022321429,0.540050152,0.202749141
177,10,1.3235294,91,0.007440476,0.356246726,0.144329897
178,177,2.3409173,179,0.131696429,0.722276366,0.295532646
179,56,1.9363272,120,0.041666667,0.576715397,0.194158076
180,217,2.4444554,299,0.161458333,0.759526675,0.501718213
181,145,2.4034216,230,0.107886905,0.744763784,0.383161512
182,0,0.87048382,45,0,0.193252738,0.065292096
183,28,1.606352,64,0.020833333,0.457998923,0.097938144
184,34,1.6666666,73,0.025297619,0.479698544,0.113402062
185,8,1.1708162,71,0.005952381,0.301304498,0.109965636
186,10,1.3034559,89,0.007440476,0.349024804,0.140893471
187,66,1.9851656,101,0.049107143,0.59428618,0.161512027
188,67,1.9851656,101,0.04985119,0.59428618,0.161512027
189,10,1.3034559,89,0.007440476,0.349024804,0.140893471
190,8,1.1708162,71,0.005952381,0.301304498,0.109965636
191,31,1.6666666,73,0.023065476,0.479698544,0.113402062
192,24,1.606352,64,0.017857143,0.457998923,0.097938144
193,0,0.87048382,45,0,0.193252738,0.065292096
194,28,1.7909094,76,0.020833333,0.524397864,0.118556701
195,107,2.3100555,80,0.079613095,0.711173095,0.125429553
196,10,1.2409762,73,0.007440476,0.326546237,0.113402062
197,10,1.1981546,63,0.007440476,0.311140141,0.096219931
198,77,2.3025978,72,0.057291667,0.708490009,0.111683849
199,26,1.7379411,69,0.019345238,0.50534125,0.10652921
200,26,1.3938289,54,0.019345238,0.381538653,0.080756014
201,8,1.0207884,29,0.005952381,0.247328407,0.037800687
202,12,1.2906152,61,0.008928571,0.344405055,0.092783505
203,24,1.6828449,63,0.017857143,0.485519074,0.096219931
204,30,1.8599865,61,0.022321429,0.549250003,0.092783505
205,12,1.2906152,61,0.008928571,0.344405055,0.092783505
206,8,1.0207884,29,0.005952381,0.247328407,0.037800687
207,26,1.3938289,54,0.019345238,0.381538653,0.080756014
208,6,0.8870222,26,0.004464286,0.199202816,0.032646048
209,6,0.8870222,26,0.004464286,0.199202816,0.032646048
210,28,1.8599865,63,0.020833333,0.549250003,0.096219931
211,24,1.6828449,64,0.017857143,0.485519074,0.097938144
212,14,1.5592309,140,0.010416667,0.44104598,0.228522337
213,28,1.5598243,96,0.020833333,0.44125947,0.152920962
214,14,1.5153866,121,0.010416667,0.425271944,0.195876289
215,110,2.1931167,263,0.081845238,0.669101564,0.439862543
216,22,1.3304729,69,0.016369048,0.358744816,0.10652921
217,8,1.0207884,42,0.005952381,0.247328407,0.060137457
218,8,1.2857143,91,0.005952381,0.342641839,0.144329897
219,66,2.0765691,241,0.049107143,0.627170776,0.402061856
220,12,1.4337122,109,0.008928571,0.395887624,0.175257732
221,26,1.5395753,79,0.019345238,0.433974408,0.12371134
222,12,1.2906152,69,0.008928571,0.344405055,0.10652921
223,26,1.7269484,94,0.019345238,0.501386364,0.149484536
224,45,2.0462267,88,0.033482143,0.616254372,0.139175258
225,28,1.7852225,83,0.020833333,0.522351865,0.130584192
226,31,1.5448366,73,0.023065476,0.435867286,0.113402062
227,8,1.0697098,42,0.005952381,0.264929051,0.060137457
228,8,1.0697098,42,0.005952381,0.264929051,0.060137457
229,34,1.5448366,73,0.025297619,0.435867286,0.113402062
230,31,1.7852225,84,0.023065476,0.522351865,0.132302405
231,53,2.0462267,88,0.039434524,0.616254372,0.139175258
232,26,1.7307693,79,0.019345238,0.502761024,0.12371134
233,26,1.6741856,89,0.019345238,0.482403684,0.140893471
234,30,1.5785179,85,0.022321429,0.44798494,0.134020619
